cuisine,order_size_items,prep_time_estimate_min,distance_km,driver_experience_m,courier_type,weather,wind_mps,traffic_level,hour_of_day,day_of_week,restaurant_load,delivery_time_min
mexican,4,11.8,1.5,4,bike,rain,6.3,medium,11,Mon,0.14,36.4
salad,3,6.8,2.3,4,ebike,rain,6.4,medium,11,Mon,0.14,27.3
noodles,3,10.1,6.3,5,bike,rain,7.8,medium,11,Mon,0.42,54.5
sushi,1,13.2,0.8,5,ebike,rain,8.5,medium,11,Mon,0.28,33.4
pizza,3,11.7,3.8,12,ebike,rain,8.3,medium,11,Mon,0.42,38.2
pizza,4,12.0,4.7,1,ebike,clear,6.6,high,11,Mon,0.28,47.7
pizza,5,12.2,1.5,5,ebike,clear,7.3,medium,11,Mon,0.42,35.1
noodles,3,10.1,1.7,2,ebike,clear,4.3,low,12,Mon,0.14,30.6
noodles,5,10.5,7.1,8,ebike,clear,10.0,low,12,Mon,0.28,46.4
pizza,5,12.2,2.3,9,bike,clear,7.3,medium,12,Mon,0.42,40.6
indian,3,15.3,3.3,1,bike,clear,7.1,high,12,Mon,0.28,47.9
burger,3,8.4,6.7,7,ebike,clear,6.9,medium,12,Mon,0.42,40.4
pizza,2,11.4,1.2,6,ebike,clear,7.6,medium,12,Mon,0.28,30.2
mexican,2,11.3,2.8,2,ebike,clear,6.8,medium,12,Mon,0.28,37.5
noodles,2,9.8,1.3,3,ebike,clear,9.7,medium,12,Mon,0.28,30.7
mexican,2,11.3,3.9,10,ebike,rain,6.5,medium,12,Mon,0.42,36.2
pizza,2,11.4,2.9,1,ebike,rain,7.3,medium,12,Mon,0.56,40.1
pizza,4,12.0,2.8,7,ebike,rain,4.7,low,13,Mon,0.42,34.3
indian,2,14.8,2.7,14,ebike,clear,4.6,low,13,Mon,0.56,40.2
burger,2,8.1,1.3,8,ebike,clear,5.1,medium,13,Mon,0.42,24.2
noodles,2,9.8,5.8,1,ebike,clear,7.6,low,13,Mon,0.56,42.4
burger,2,8.1,8.1,5,ebike,clear,5.4,high,13,Mon,0.42,53.6
sushi,1,13.2,2.5,2,ebike,clear,4.2,high,13,Mon,0.56,38.0
burger,5,8.8,4.2,9,ebike,clear,5.9,low,13,Mon,0.28,34.7
fried_chicken,3,11.2,1.7,4,ebike,rain,7.1,low,13,Mon,0.14,32.2
noodles,4,10.3,1.5,5,ebike,rain,7.9,medium,13,Mon,0.42,30.9
noodles,5,10.5,5.1,4,bike,clear,3.6,low,13,Mon,0.28,36.5
mexican,3,11.6,3.3,7,bike,rain,5.5,low,13,Mon,0.28,40.0
mexican,2,11.3,2.3,19,bike,clear,6.7,medium,13,Mon,0.42,37.1
sushi,4,14.4,2.8,4,ebike,clear,5.3,low,13,Mon,0.42,40.7
fried_chicken,5,11.7,3.4,6,ebike,clear,3.4,medium,14,Mon,0.14,36.0
noodles,4,10.3,1.5,11,ebike,clear,4.3,low,14,Mon,0.28,26.7
fried_chicken,5,11.7,3.2,5,ebike,clear,2.2,low,14,Mon,0.56,37.5
indian,3,15.3,7.9,7,bike,rain,6.0,low,14,Mon,0.42,66.9
fried_chicken,3,11.2,1.0,9,bike,clear,5.7,medium,15,Mon,0.14,32.4
noodles,3,10.1,5.7,2,bike,clear,9.3,low,15,Mon,0.14,42.7
fried_chicken,3,11.2,3.7,4,bike,clear,2.3,low,16,Mon,0.14,35.7
burger,3,8.4,1.8,11,bike,rain,4.9,high,16,Mon,0.42,30.9
indian,4,15.6,3.0,6,bike,rain,6.4,high,16,Mon,0.28,51.7
burger,1,7.8,1.6,6,ebike,clear,9.6,low,16,Mon,0.28,22.3
pizza,4,12.0,2.2,2,bike,clear,6.4,medium,16,Mon,0.14,34.8
pizza,1,11.0,3.1,2,ebike,clear,1.3,high,17,Mon,0.14,39.1
sushi,3,14.1,6.1,1,ebike,rain,8.2,medium,18,Mon,0.14,56.1
mexican,2,11.3,2.7,2,bike,clear,5.2,medium,18,Mon,0.42,32.7
indian,4,15.6,2.1,3,ebike,clear,4.0,medium,18,Mon,0.28,46.2
mexican,4,11.8,2.4,9,bike,clear,6.9,low,18,Mon,0.56,37.7
burger,3,8.4,3.3,3,ebike,clear,2.0,high,19,Mon,0.28,30.2
burger,4,8.6,2.7,12,bike,clear,3.5,low,19,Mon,0.14,32.1
mexican,5,12.0,2.2,1,ebike,storm,9.5,medium,19,Mon,0.56,38.4
indian,4,15.6,5.9,2,ebike,rain,2.9,medium,19,Mon,0.42,54.4
indian,4,15.6,3.2,3,ebike,clear,4.0,medium,19,Mon,0.69,51.3
pizza,3,11.7,2.9,8,bike,clear,2.3,high,19,Mon,0.56,38.2
pizza,3,11.7,2.3,7,bike,rain,3.1,medium,19,Mon,0.42,37.4
mexican,3,11.6,2.7,1,bike,clear,6.0,medium,19,Mon,0.28,39.4
noodles,1,9.4,2.7,1,ebike,clear,7.5,medium,20,Mon,0.14,31.2
fried_chicken,7,12.1,1.9,3,ebike,rain,5.2,high,20,Mon,0.14,37.0
burger,4,8.6,4.0,4,ebike,clear,1.1,low,20,Mon,0.28,32.1
pizza,3,11.7,2.5,5,ebike,rain,3.3,high,20,Mon,0.14,45.6
burger,4,8.6,6.2,1,ebike,rain,5.3,medium,20,Mon,0.42,39.6
indian,5,15.9,8.5,4,ebike,clear,2.6,medium,20,Mon,0.28,61.9
mexican,4,11.8,1.2,0,ebike,clear,4.6,low,21,Mon,0.56,32.5
noodles,5,10.5,2.8,4,bike,rain,5.8,low,21,Mon,0.42,31.8
pizza,2,11.4,2.5,12,ebike,clear,5.6,medium,21,Mon,0.28,31.0
mexican,2,11.3,4.5,5,bike,clear,5.0,medium,21,Mon,0.56,43.8
salad,3,6.8,4.4,6,ebike,rain,8.4,low,21,Mon,0.42,29.5
pizza,4,12.0,4.5,3,ebike,rain,5.3,low,21,Mon,0.28,39.0
noodles,4,10.3,2.1,4,ebike,rain,6.3,low,21,Mon,0.28,25.2
mexican,5,12.0,2.4,2,bike,clear,1.9,low,21,Mon,0.28,29.6
salad,2,6.6,1.7,2,bike,rain,4.5,low,21,Mon,0.56,26.5
pizza,4,12.0,2.2,7,ebike,clear,6.7,high,21,Mon,0.42,38.8
indian,7,16.4,3.7,14,bike,rain,7.8,medium,21,Mon,0.14,53.5
indian,4,15.6,4.9,6,ebike,clear,4.4,medium,22,Mon,0.14,53.3
burger,2,8.1,2.0,5,bike,clear,2.3,low,22,Mon,0.14,28.1
mexican,4,11.8,3.6,1,ebike,rain,8.1,low,22,Mon,0.14,35.6
salad,1,6.4,2.0,1,ebike,clear,3.9,medium,23,Mon,0.14,21.6
indian,4,15.6,3.5,2,ebike,rain,4.0,low,23,Mon,0.28,44.1
salad,1,6.4,2.3,17,ebike,clear,5.1,low,0,Tue,0.14,21.3
burger,2,8.1,4.4,7,ebike,rain,6.6,low,0,Tue,0.28,35.6
sushi,1,13.2,5.2,0,ebike,clear,5.6,medium,0,Tue,0.14,43.3
salad,2,6.6,3.2,8,ebike,clear,4.1,medium,0,Tue,0.14,28.8
fried_chicken,4,11.5,3.0,2,ebike,clear,4.8,low,1,Tue,0.14,34.6
indian,6,16.2,8.1,2,ebike,clear,2.2,low,2,Tue,0.14,57.9
mexican,4,11.8,3.8,12,ebike,clear,5.5,medium,3,Tue,0.14,41.4
sushi,2,13.7,2.1,4,bike,rain,4.4,medium,4,Tue,0.14,41.3
noodles,3,10.1,5.8,6,ebike,rain,7.4,low,5,Tue,0.14,37.9
burger,3,8.4,9.4,7,ebike,clear,8.5,medium,6,Tue,0.14,54.7
fried_chicken,2,10.9,2.5,6,ebike,rain,1.8,low,7,Tue,0.14,31.1
mexican,5,12.0,3.9,6,ebike,clear,7.4,high,7,Tue,0.14,45.1
mexican,4,11.8,3.2,3,bike,storm,9.3,high,7,Tue,0.28,51.6
fried_chicken,4,11.5,3.3,17,ebike,clear,5.3,medium,8,Tue,0.14,38.4
pizza,4,12.0,5.0,3,ebike,clear,6.6,medium,8,Tue,0.14,45.4
fried_chicken,4,11.5,2.1,6,ebike,clear,3.3,low,8,Tue,0.28,27.9
mexican,2,11.3,3.6,1,ebike,clear,6.9,low,9,Tue,0.14,37.0
pizza,3,11.7,1.4,2,ebike,rain,6.4,medium,9,Tue,0.28,34.0
noodles,4,10.3,2.6,10,ebike,clear,7.0,medium,9,Tue,0.56,34.1
indian,2,14.8,4.9,6,bike,clear,9.4,medium,9,Tue,0.42,52.6
indian,2,14.8,4.6,0,bike,clear,7.5,medium,9,Tue,0.14,49.0
fried_chicken,4,11.5,0.4,10,ebike,clear,5.8,medium,9,Tue,0.14,32.4
indian,4,15.6,2.7,2,ebike,clear,8.4,medium,9,Tue,0.28,46.2
sushi,3,14.1,3.5,4,ebike,clear,4.9,medium,10,Tue,0.28,37.7
salad,4,7.0,3.4,1,bike,clear,7.5,low,10,Tue,0.42,32.2
mexican,4,11.8,1.9,1,bike,rain,6.0,medium,10,Tue,0.28,32.1
noodles,2,9.8,5.4,6,ebike,clear,7.5,medium,10,Tue,0.42,34.9
burger,3,8.4,8.5,0,ebike,clear,9.1,medium,10,Tue,0.14,49.7
salad,2,6.6,4.6,4,ebike,clear,5.6,low,10,Tue,0.42,26.1
indian,6,16.2,3.7,18,ebike,rain,5.9,medium,10,Tue,0.28,51.7
burger,4,8.6,3.1,1,ebike,clear,6.5,medium,11,Tue,0.14,30.8
indian,3,15.3,2.9,5,ebike,clear,8.8,medium,11,Tue,0.14,41.1
noodles,3,10.1,2.8,3,ebike,clear,5.6,low,11,Tue,0.56,33.6
sushi,2,13.7,6.4,10,ebike,rain,8.3,medium,11,Tue,0.28,52.0
sushi,2,13.7,2.5,3,ebike,clear,7.5,low,11,Tue,0.42,38.1
fried_chicken,4,11.5,6.1,8,ebike,rain,10.2,low,11,Tue,0.69,50.1
fried_chicken,4,11.5,1.0,2,ebike,rain,7.4,medium,11,Tue,0.14,28.8
sushi,2,13.7,2.5,9,ebike,rain,5.8,medium,12,Tue,0.14,39.5
fried_chicken,6,11.9,5.7,8,bike,clear,6.0,medium,12,Tue,0.28,50.1
indian,5,15.9,2.3,10,bike,rain,5.2,high,12,Tue,0.28,48.0
pizza,2,11.4,3.7,16,ebike,clear,4.2,medium,12,Tue,0.28,37.0
burger,3,8.4,4.2,3,bike,clear,9.5,medium,13,Tue,0.14,38.7
noodles,4,10.3,2.0,8,bike,rain,3.0,high,13,Tue,0.28,38.1
salad,1,6.4,0.9,5,ebike,rain,11.3,high,13,Tue,0.14,13.9
sushi,4,14.4,3.3,4,ebike,clear,6.6,medium,13,Tue,0.28,45.0
indian,4,15.6,2.2,9,ebike,clear,6.9,medium,13,Tue,0.28,44.6
pizza,2,11.4,1.1,4,ebike,clear,5.6,medium,14,Tue,0.14,31.0
indian,4,15.6,0.9,18,ebike,clear,6.3,high,14,Tue,0.28,36.3
noodles,2,9.8,4.2,3,ebike,storm,8.6,low,14,Tue,0.28,43.3
mexican,2,11.3,7.1,10,ebike,clear,8.5,medium,14,Tue,0.56,51.5
sushi,5,14.7,1.8,1,ebike,clear,8.3,medium,14,Tue,0.42,41.1
sushi,4,14.4,3.6,7,ebike,clear,4.5,medium,14,Tue,0.69,45.4
burger,4,8.6,2.0,1,bike,rain,7.9,low,14,Tue,0.14,29.0
pizza,2,11.4,3.9,8,bike,clear,5.8,low,15,Tue,0.14,39.2
sushi,3,14.1,2.5,21,ebike,clear,3.8,medium,15,Tue,0.28,42.8
mexican,4,11.8,3.7,3,bike,rain,7.6,medium,15,Tue,0.14,39.7
fried_chicken,1,10.5,2.2,2,ebike,clear,5.2,high,15,Tue,0.28,33.6
pizza,4,12.0,2.7,3,bike,storm,12.2,medium,15,Tue,0.14,38.9
salad,2,6.6,2.5,8,bike,clear,6.8,low,16,Tue,0.28,26.1
burger,4,8.6,4.1,6,ebike,clear,8.6,medium,16,Tue,0.28,33.5
sushi,5,14.7,3.4,5,ebike,clear,6.7,high,16,Tue,0.14,45.3
pizza,3,11.7,2.7,6,ebike,clear,1.9,medium,16,Tue,0.28,43.3
noodles,3,10.1,2.0,7,ebike,clear,4.3,medium,16,Tue,0.42,29.4
mexican,3,11.6,1.8,14,bike,storm,14.7,medium,16,Tue,0.42,43.2
fried_chicken,2,10.9,5.2,5,bike,clear,8.1,low,16,Tue,0.28,46.5
mexican,3,11.6,2.3,11,ebike,rain,6.2,medium,17,Tue,0.42,34.0
burger,2,8.1,1.1,9,ebike,clear,5.5,low,17,Tue,0.14,20.8
pizza,1,11.0,4.6,6,bike,rain,8.3,medium,17,Tue,0.14,51.6
fried_chicken,3,11.2,4.3,4,bike,clear,7.1,medium,17,Tue,0.14,44.4
fried_chicken,4,11.5,4.0,19,bike,clear,3.3,medium,18,Tue,0.14,40.0
pizza,3,11.7,3.3,0,bike,clear,8.1,low,18,Tue,0.28,41.3
salad,3,6.8,1.8,2,ebike,rain,2.5,medium,18,Tue,0.42,31.7
pizza,3,11.7,2.8,2,bike,clear,7.1,medium,18,Tue,0.28,37.8
salad,3,6.8,5.0,1,ebike,clear,5.0,medium,18,Tue,0.42,34.2
burger,4,8.6,4.1,9,bike,clear,6.2,high,18,Tue,0.14,41.6
fried_chicken,1,10.5,5.0,3,ebike,clear,8.7,medium,18,Tue,0.28,46.4
burger,2,8.1,4.5,2,bike,rain,5.9,medium,18,Tue,0.42,41.4
sushi,1,13.2,3.1,3,ebike,rain,9.3,medium,18,Tue,0.56,41.4
burger,4,8.6,3.0,12,ebike,clear,5.5,medium,18,Tue,0.28,27.3
burger,2,8.1,4.4,4,ebike,clear,7.8,medium,19,Tue,0.28,34.7
mexican,5,12.0,4.1,8,ebike,clear,4.3,medium,19,Tue,0.28,43.4
pizza,4,12.0,1.6,3,bike,clear,5.6,medium,19,Tue,0.42,32.4
burger,3,8.4,1.3,6,bike,clear,7.9,medium,19,Tue,0.56,31.6
burger,1,7.8,2.1,1,ebike,clear,5.3,medium,19,Tue,0.69,32.3
noodles,3,10.1,3.6,2,bike,clear,4.5,low,19,Tue,0.28,35.1
sushi,2,13.7,6.9,2,ebike,clear,4.5,high,19,Tue,0.14,56.0
burger,3,8.4,3.9,1,ebike,rain,3.9,medium,19,Tue,0.42,38.4
pizza,5,12.2,4.2,2,ebike,clear,3.3,medium,19,Tue,0.42,40.4
sushi,5,14.7,2.5,3,ebike,clear,3.5,medium,19,Tue,0.28,37.9
sushi,3,14.1,2.1,5,ebike,clear,2.9,low,19,Tue,0.56,40.6
sushi,3,14.1,2.1,2,ebike,rain,7.4,medium,20,Tue,0.28,37.9
fried_chicken,4,11.5,2.7,5,ebike,storm,10.4,medium,20,Tue,0.14,38.2
pizza,3,11.7,2.7,5,bike,clear,3.6,low,20,Tue,0.28,38.2
noodles,1,9.4,3.5,5,ebike,clear,6.0,medium,20,Tue,0.42,33.1
pizza,6,12.4,2.4,5,bike,storm,6.1,medium,20,Tue,0.14,44.3
fried_chicken,5,11.7,4.0,7,ebike,rain,2.7,medium,20,Tue,0.28,40.7
burger,3,8.4,2.1,7,ebike,rain,2.7,medium,21,Tue,0.14,24.9
noodles,3,10.1,2.7,15,bike,storm,9.0,low,21,Tue,0.14,41.3
pizza,2,11.4,1.9,9,ebike,clear,3.5,low,22,Tue,0.28,28.3
mexican,4,11.8,1.7,10,ebike,clear,6.4,medium,22,Tue,0.42,30.6
sushi,3,14.1,2.2,8,ebike,rain,8.6,low,22,Tue,0.56,39.6
pizza,4,12.0,3.1,11,ebike,rain,7.2,low,22,Tue,0.14,41.4
sushi,4,14.4,2.9,4,bike,storm,9.8,low,22,Tue,0.14,46.7
noodles,2,9.8,7.3,9,ebike,rain,3.1,medium,22,Tue,0.28,48.3
indian,4,15.6,4.1,1,ebike,clear,4.6,high,22,Tue,0.42,48.8
pizza,4,12.0,1.5,3,ebike,clear,6.0,low,22,Tue,0.42,32.8
mexican,4,11.8,4.3,1,ebike,rain,6.8,medium,23,Tue,0.14,41.2
sushi,3,14.1,2.5,6,bike,rain,3.8,medium,23,Tue,0.28,37.5
sushi,2,13.7,5.7,2,ebike,clear,5.3,low,23,Tue,0.28,48.8
pizza,3,11.7,3.7,12,bike,rain,5.6,medium,23,Tue,0.28,44.6
indian,5,15.9,2.7,8,ebike,clear,7.4,medium,0,Wed,0.14,45.1
fried_chicken,2,10.9,2.9,5,bike,clear,6.1,medium,1,Wed,0.14,32.1
mexican,4,11.8,1.1,7,ebike,clear,6.5,low,1,Wed,0.28,30.3
sushi,3,14.1,1.9,8,ebike,rain,5.5,medium,2,Wed,0.14,40.8
mexican,2,11.3,3.1,10,bike,clear,1.9,medium,3,Wed,0.14,39.2
burger,3,8.4,3.0,6,bike,clear,7.7,medium,4,Wed,0.14,32.4
fried_chicken,2,10.9,2.5,2,ebike,clear,5.1,medium,5,Wed,0.14,35.4
burger,4,8.6,5.7,0,ebike,clear,6.4,low,6,Wed,0.14,34.8
pizza,5,12.2,1.1,3,bike,rain,5.1,low,6,Wed,0.28,34.9
pizza,3,11.7,0.8,13,bike,clear,2.8,low,6,Wed,0.42,31.4
indian,5,15.9,1.9,1,ebike,clear,3.1,medium,6,Wed,0.42,43.2
mexican,4,11.8,2.3,0,bike,clear,6.1,medium,7,Wed,0.14,31.8
mexican,4,11.8,3.9,3,bike,rain,5.6,high,7,Wed,0.28,49.0
burger,4,8.6,4.1,2,bike,clear,3.7,low,7,Wed,0.28,33.1
fried_chicken,5,11.7,2.6,6,bike,rain,1.5,medium,8,Wed,0.14,34.6
salad,3,6.8,8.1,6,ebike,clear,6.4,medium,8,Wed,0.42,47.3
mexican,4,11.8,6.3,1,bike,rain,4.0,high,8,Wed,0.28,59.5
salad,3,6.8,2.9,10,ebike,clear,6.4,medium,8,Wed,0.14,20.3
burger,2,8.1,1.0,6,bike,rain,8.2,medium,9,Wed,0.14,22.9
indian,6,16.2,3.6,9,ebike,clear,6.8,medium,9,Wed,0.14,47.1
burger,4,8.6,4.0,3,ebike,clear,5.9,medium,9,Wed,0.14,31.7
burger,3,8.4,2.1,3,ebike,storm,9.7,medium,9,Wed,0.14,32.3
burger,2,8.1,6.9,8,ebike,clear,4.7,low,10,Wed,0.14,39.6
fried_chicken,4,11.5,2.9,1,bike,clear,5.1,low,10,Wed,0.14,38.0
pizza,5,12.2,2.8,9,bike,rain,7.7,low,10,Wed,0.28,41.6
burger,4,8.6,1.1,1,ebike,clear,8.8,low,11,Wed,0.28,28.3
pizza,2,11.4,2.1,2,bike,clear,1.5,medium,11,Wed,0.14,36.9
indian,4,15.6,8.5,1,ebike,rain,3.5,medium,11,Wed,0.56,59.8
indian,6,16.2,6.6,2,ebike,clear,4.1,medium,11,Wed,0.42,59.1
burger,3,8.4,4.6,9,bike,clear,8.6,low,11,Wed,0.28,37.2
pizza,6,12.4,2.2,12,ebike,rain,1.5,low,11,Wed,0.28,39.6
pizza,5,12.2,8.0,5,ebike,rain,11.6,low,11,Wed,0.28,55.7
burger,4,8.6,2.2,7,bike,clear,4.4,low,11,Wed,0.42,29.6
salad,1,6.4,2.9,3,ebike,clear,7.0,medium,12,Wed,0.14,25.0
fried_chicken,6,11.9,3.7,3,ebike,clear,5.4,high,12,Wed,0.28,39.5
salad,2,6.6,4.5,3,ebike,clear,9.5,medium,12,Wed,0.28,31.3
salad,2,6.6,4.6,3,ebike,rain,4.4,high,12,Wed,0.14,36.1
sushi,2,13.7,5.7,10,ebike,rain,7.1,low,12,Wed,0.28,45.3
pizza,4,12.0,2.7,1,ebike,rain,4.9,low,12,Wed,0.42,37.6
sushi,1,13.2,1.5,9,bike,clear,8.9,high,12,Wed,0.42,41.9
mexican,4,11.8,1.3,12,bike,clear,8.0,medium,12,Wed,0.14,33.5
noodles,5,10.5,5.0,3,ebike,rain,3.6,high,13,Wed,0.28,41.8
burger,4,8.6,2.8,9,bike,clear,7.7,high,13,Wed,0.42,36.4
sushi,3,14.1,1.9,1,ebike,rain,2.4,medium,13,Wed,0.42,43.3
pizza,5,12.2,0.9,2,ebike,rain,5.4,low,13,Wed,0.56,30.0
sushi,4,14.4,1.4,2,ebike,rain,4.6,medium,13,Wed,0.28,33.6
noodles,3,10.1,7.9,11,bike,clear,3.0,medium,13,Wed,0.42,53.8
indian,5,15.9,4.0,8,ebike,rain,7.0,low,13,Wed,0.42,48.1
pizza,4,12.0,2.2,4,ebike,clear,4.9,high,13,Wed,0.56,37.7
mexican,3,11.6,1.0,24,bike,clear,4.7,medium,13,Wed,0.69,25.3
burger,1,7.8,6.5,4,bike,clear,5.2,medium,13,Wed,0.56,45.4
indian,5,15.9,5.0,2,ebike,clear,9.7,medium,13,Wed,0.42,50.2
sushi,4,14.4,1.2,7,ebike,clear,8.7,medium,13,Wed,0.28,36.9
sushi,2,13.7,4.6,2,ebike,clear,5.7,low,14,Wed,0.28,49.3
salad,2,6.6,2.8,5,ebike,storm,11.8,medium,14,Wed,0.28,25.1
indian,3,15.3,2.0,4,bike,rain,5.2,low,14,Wed,0.14,41.2
pizza,5,12.2,2.9,3,ebike,clear,8.6,low,15,Wed,0.14,35.6
sushi,3,14.1,3.5,10,bike,clear,5.6,medium,15,Wed,0.28,49.0
indian,5,15.9,3.8,1,ebike,clear,6.8,high,15,Wed,0.14,50.2
pizza,5,12.2,1.6,0,ebike,rain,2.8,medium,16,Wed,0.14,28.6
pizza,3,11.7,1.7,0,ebike,clear,5.2,low,16,Wed,0.28,30.3
indian,3,15.3,1.8,5,ebike,clear,5.7,medium,16,Wed,0.42,41.3
sushi,3,14.1,4.6,3,bike,clear,4.6,low,16,Wed,0.56,50.6
noodles,5,10.5,4.3,1,bike,clear,5.1,medium,16,Wed,0.14,42.5
mexican,5,12.0,1.7,1,ebike,storm,11.1,medium,17,Wed,0.14,39.6
indian,3,15.3,2.9,8,bike,clear,3.7,low,17,Wed,0.14,43.3
noodles,3,10.1,7.4,3,bike,clear,5.2,medium,17,Wed,0.28,59.7
noodles,3,10.1,2.2,4,bike,clear,4.6,high,18,Wed,0.14,34.5
fried_chicken,4,11.5,5.4,6,ebike,rain,7.1,low,18,Wed,0.28,49.1
pizza,4,12.0,2.0,7,ebike,clear,6.6,medium,18,Wed,0.42,33.3
pizza,4,12.0,1.1,1,ebike,clear,8.7,low,18,Wed,0.42,29.7
sushi,3,14.1,2.8,2,ebike,clear,5.3,high,18,Wed,0.56,45.0
indian,3,15.3,2.0,4,ebike,rain,8.3,medium,18,Wed,0.56,40.9
pizza,3,11.7,3.1,11,ebike,clear,5.3,high,18,Wed,0.42,36.8
pizza,3,11.7,4.7,0,ebike,clear,4.2,medium,18,Wed,0.56,42.6
salad,1,6.4,0.8,12,ebike,rain,1.2,medium,18,Wed,0.42,16.7
pizza,4,12.0,2.6,4,bike,rain,7.7,low,18,Wed,0.69,45.5
pizza,2,11.4,6.3,9,ebike,clear,7.2,medium,18,Wed,0.42,46.6
fried_chicken,4,11.5,1.0,10,ebike,clear,7.0,medium,18,Wed,0.28,27.3
pizza,2,11.4,7.1,5,ebike,clear,6.1,medium,19,Wed,0.28,49.4
pizza,2,11.4,3.8,0,bike,clear,4.9,medium,19,Wed,0.28,42.2
mexican,4,11.8,2.1,8,ebike,rain,4.3,low,19,Wed,0.28,34.8
sushi,2,13.7,3.2,3,ebike,storm,9.8,high,19,Wed,0.42,45.0
indian,7,16.4,5.7,1,ebike,clear,5.7,medium,19,Wed,0.42,55.8
mexican,4,11.8,4.5,5,ebike,clear,4.1,low,19,Wed,0.56,44.9
sushi,4,14.4,2.7,1,bike,rain,5.0,medium,19,Wed,0.42,45.6
salad,3,6.8,1.7,0,bike,rain,5.8,medium,19,Wed,0.28,27.1
fried_chicken,5,11.7,2.2,11,bike,rain,1.9,low,20,Wed,0.14,36.9
noodles,4,10.3,4.7,1,ebike,clear,7.7,high,20,Wed,0.14,40.6
pizza,5,12.2,4.7,4,ebike,clear,7.0,low,20,Wed,0.28,43.9
pizza,3,11.7,3.5,26,bike,rain,6.8,low,20,Wed,0.14,36.9
mexican,3,11.6,4.4,3,bike,clear,4.2,medium,20,Wed,0.28,44.8
salad,2,6.6,2.0,5,bike,clear,4.4,medium,21,Wed,0.14,26.0
pizza,4,12.0,5.7,2,bike,rain,5.4,low,21,Wed,0.14,52.2
noodles,2,9.8,2.2,11,bike,rain,3.6,low,21,Wed,0.14,31.4
pizza,4,12.0,4.2,3,ebike,clear,2.8,low,21,Wed,0.28,34.2
salad,2,6.6,2.9,8,ebike,rain,2.8,medium,22,Wed,0.14,28.8
indian,3,15.3,5.7,4,ebike,clear,5.4,low,22,Wed,0.28,52.4
noodles,3,10.1,2.3,7,bike,clear,8.6,low,22,Wed,0.14,32.5
salad,5,7.1,7.0,2,bike,clear,4.3,medium,23,Wed,0.14,41.9
burger,5,8.8,7.5,8,bike,clear,3.7,medium,23,Wed,0.14,45.1
pizza,4,12.0,3.4,1,ebike,rain,5.5,medium,0,Thu,0.14,37.1
pizza,5,12.2,7.8,5,bike,storm,13.6,medium,0,Thu,0.14,70.9
sushi,3,14.1,2.1,10,ebike,clear,5.3,medium,1,Thu,0.14,39.2
mexican,5,12.0,4.1,13,ebike,clear,1.8,medium,2,Thu,0.14,36.2
noodles,2,9.8,4.5,11,ebike,rain,3.1,medium,3,Thu,0.14,35.0
fried_chicken,4,11.5,6.9,3,ebike,clear,3.0,medium,3,Thu,0.14,42.5
noodles,4,10.3,8.4,7,ebike,clear,4.6,low,3,Thu,0.14,46.7
pizza,5,12.2,1.1,6,ebike,clear,4.7,high,3,Thu,0.28,35.4
mexican,3,11.6,6.5,7,bike,clear,6.5,medium,4,Thu,0.14,52.9
sushi,3,14.1,2.6,8,bike,rain,4.7,high,5,Thu,0.14,46.9
