monthly_rent_dkk,fair_value_dkk,asking_start_dkk,accepted_discount_pct,time_on_market_days,price_cuts,month_listed,listing_channel,neighbourhood,type,floor_area_m2,furnished,utilities_included,bathroom_private,kitchen_private,lease_flex,deposit_months,building_year,energy_rating,floor,total_floors,elevator,distance_to_centre_km,distance_to_AAU_km,commute_time_bus_min,market_tightness
11079.0,11079.0,11079.0,0.0,2,0,7,private_portal,Centrum,2br,89.6,1,0,1,1,fixed,3,1983,E,2,5,0,1.09,4.38,28.7,1.04
2600.0,2600.0,2750.0,0.0545,23,1,6,private_portal,Øgadekvarteret,dorm_room,18.1,0,1,1,0,fixed,3,2001,E,0,3,1,2.6,2.67,24.3,1.03
2643.0,2600.0,2643.0,0.0,1,0,6,studiebolig_central,Vestbyen,dorm_room,15.0,1,1,0,1,fixed,2,2001,D,1,3,0,1.34,4.44,28.6,1.03
3564.0,3492.0,3564.0,0.0,10,0,9,private_portal,Centrum,shared_room,30.9,0,1,1,1,open-ended,3,1992,D,5,5,1,0.72,2.99,22.1,1.04
3654.0,3400.0,3654.0,0.0,15,0,8,private_portal,Øgadekvarteret,studio,32.0,0,0,1,1,open-ended,3,1974,F,1,5,1,1.16,4.28,28.9,1.08
2740.0,2600.0,2740.0,0.0,1,0,1,studiebolig_central,Vestbyen,dorm_room,14.9,0,0,1,0,open-ended,3,2003,D,0,3,0,0.88,4.55,24.2,0.96
2638.0,2600.0,2638.0,0.0,4,0,1,studiebolig_central,Centrum,dorm_room,12.0,1,1,0,0,open-ended,3,2017,B,1,4,0,2.16,4.5,24.0,0.96
5000.0,5000.0,5000.0,0.0,2,0,6,private_portal,Vestbyen,1br,36.2,0,0,1,1,fixed,2,1996,C,0,3,0,1.07,4.61,30.3,1.03
2600.0,2600.0,2698.0,0.0363,25,1,1,studiebolig_central,Centrum,dorm_room,17.8,1,1,1,1,open-ended,2,1949,G,2,4,0,0.38,3.77,25.5,0.96
5972.0,5904.0,5972.0,0.0,21,0,1,studiebolig_central,Centrum,1br,45.3,1,1,1,1,fixed,2,1976,E,3,5,0,0.2,5.14,29.6,0.96
3430.0,3400.0,3430.0,0.0,10,0,8,private_portal,Vestbyen,studio,32.3,0,1,1,1,fixed,4,1944,F,0,2,0,1.12,4.4,31.0,1.08
6892.0,6949.0,7139.0,0.0346,15,1,3,private_portal,Vestbyen,1br,63.6,1,0,1,1,open-ended,4,1985,E,1,2,0,1.19,4.84,24.0,0.99
2600.0,2600.0,2683.0,0.0309,29,1,1,studiebolig_central,Øgadekvarteret,dorm_room,12.3,1,0,1,0,fixed,2,1981,E,0,6,0,1.96,2.08,18.6,0.96
2647.0,2600.0,2647.0,0.0,12,0,6,studiebolig_central,Centrum,dorm_room,20.2,1,1,1,0,fixed,4,2000,E,0,4,0,1.67,3.27,20.3,1.03
2600.0,2600.0,2600.0,0.0,3,0,2,private_portal,Øgadekvarteret,dorm_room,13.6,1,1,1,0,fixed,2,2016,B,3,5,0,1.82,3.28,17.8,0.97
2657.0,2600.0,2657.0,0.0,8,0,3,private_portal,Skalborg,dorm_room,18.2,1,0,1,0,open-ended,4,1991,D,2,3,1,4.87,6.4,32.7,0.99
5861.0,5861.0,5861.0,0.0,5,0,6,private_portal,Aalborg Øst,1br,63.2,0,0,1,1,open-ended,3,2007,C,2,5,0,4.13,1.02,13.8,1.03
2708.0,2600.0,2708.0,0.0,15,0,4,studiebolig_central,Nørresundby,shared_room,21.2,1,1,1,1,fixed,2,1990,D,1,3,0,2.28,5.38,24.0,1.0
10272.0,10272.0,10272.0,0.0,4,0,5,private_portal,Øgadekvarteret,2br,84.7,0,1,1,1,open-ended,4,1990,E,0,4,0,1.45,2.58,17.9,1.01
3511.0,3400.0,3511.0,0.0,13,0,2,private_portal,Aalborg Øst,studio,32.0,0,0,1,1,fixed,3,1950,E,0,2,1,5.29,0.2,13.3,0.97
7548.0,7500.0,7548.0,0.0,4,0,8,private_portal,Vestbyen,2br,68.8,1,0,1,1,open-ended,3,2017,A,1,2,0,2.25,4.86,27.7,1.08
3623.0,3421.0,3623.0,0.0,8,0,9,private_portal,Aalborg Øst,studio,40.6,0,0,1,1,fixed,3,1976,E,0,3,0,3.72,0.66,14.8,1.04
2625.0,2600.0,2625.0,0.0,4,0,2,private_portal,Øgadekvarteret,dorm_room,21.8,1,1,0,1,fixed,3,1969,F,1,3,0,2.67,2.98,17.3,0.97
2712.0,2600.0,2712.0,0.0,12,0,7,private_portal,Øgadekvarteret,dorm_room,21.7,1,1,0,1,fixed,4,2001,D,2,3,0,2.6,3.6,17.5,1.04
2784.0,2600.0,2914.0,0.0446,53,1,3,studiebolig_central,Øgadekvarteret,dorm_room,21.0,1,1,0,1,fixed,1,2003,D,1,3,0,1.76,2.12,12.7,0.99
5908.0,5908.0,5908.0,0.0,7,0,8,private_portal,Vestbyen,1br,55.4,1,1,1,1,fixed,3,1983,F,1,2,0,2.01,4.11,26.0,1.08
5325.0,5078.0,5325.0,0.0,6,0,2,studiebolig_central,Øgadekvarteret,1br,55.7,0,0,1,1,fixed,2,1956,E,4,4,0,2.2,2.33,18.9,0.97
2600.0,2600.0,2767.0,0.0604,60,1,7,private_portal,Øgadekvarteret,shared_room,16.8,0,0,1,0,open-ended,3,1990,D,4,4,0,1.24,3.65,19.8,1.04
2605.0,2600.0,2605.0,0.0,21,0,8,private_portal,Øgadekvarteret,dorm_room,15.7,1,1,0,0,open-ended,3,1973,F,0,6,1,1.76,3.51,26.6,1.08
2600.0,2600.0,2600.0,0.0,0,0,4,studiebolig_central,Aalborg Øst,dorm_room,20.9,0,1,0,0,fixed,2,1953,E,4,4,0,5.95,0.85,11.0,1.0
3400.0,3400.0,3475.0,0.0216,24,1,6,private_portal,Centrum,studio,29.4,1,1,1,1,open-ended,3,2002,E,2,6,0,1.09,2.59,21.8,1.03
8468.0,8061.0,8468.0,0.0,7,0,7,studiebolig_central,Centrum,2br,69.9,1,0,1,1,open-ended,2,1950,G,3,3,1,0.74,4.24,27.6,1.04
2717.0,2600.0,2717.0,0.0,26,0,9,private_portal,Nørresundby,shared_room,20.4,1,1,0,0,fixed,4,1956,F,2,2,0,1.37,4.0,27.9,1.04
2600.0,2600.0,2600.0,0.0,3,0,8,private_portal,Nørresundby,dorm_room,15.3,1,1,0,0,open-ended,3,1960,G,0,5,1,1.72,4.65,27.4,1.08
2769.0,2708.0,2937.0,0.0572,38,1,6,private_portal,Centrum,shared_room,25.8,1,1,1,0,fixed,2,1973,G,0,3,0,1.54,3.12,17.5,1.03
2671.0,2600.0,2671.0,0.0,3,0,1,private_portal,Hasseris,dorm_room,20.4,1,1,1,0,open-ended,4,2019,B,1,4,0,3.16,3.36,20.7,0.96
2702.0,2600.0,2702.0,0.0,9,0,8,studiebolig_central,Hasseris,dorm_room,18.0,1,1,1,0,fixed,2,2006,C,0,3,0,3.02,4.8,28.3,1.08
2658.0,2600.0,2762.0,0.0377,29,1,8,private_portal,Vestbyen,shared_room,14.4,1,0,0,1,fixed,2,2019,C,3,6,0,1.51,4.34,29.3,1.08
2636.0,2600.0,2636.0,0.0,9,0,8,private_portal,Nørresundby,dorm_room,20.5,1,0,0,0,fixed,1,1985,E,3,4,0,1.87,4.35,28.9,1.08
2600.0,2600.0,2600.0,0.0,2,0,2,studiebolig_central,Aalborg Øst,shared_room,23.9,0,1,1,0,fixed,4,2004,D,0,3,0,4.44,0.2,7.0,0.97
7806.0,7500.0,8010.0,0.0255,20,1,3,private_portal,Centrum,2br,66.1,0,0,1,1,fixed,4,1966,F,4,4,0,0.2,3.7,23.7,0.99
3515.0,3400.0,3515.0,0.0,4,0,6,private_portal,Vestbyen,studio,37.8,0,0,1,1,open-ended,2,1961,E,0,2,1,2.25,4.68,25.8,1.03
8518.0,8518.0,8518.0,0.0,2,0,2,studiebolig_central,Øgadekvarteret,2br,77.1,1,0,1,1,fixed,3,1991,D,5,5,1,1.05,3.31,24.8,0.97
3972.0,3762.0,3972.0,0.0,4,0,4,private_portal,Øgadekvarteret,studio,29.8,1,1,1,1,open-ended,4,2020,A,4,5,1,1.59,2.91,15.8,1.0
5236.0,5000.0,5236.0,0.0,14,0,6,studiebolig_central,Nørresundby,1br,49.4,0,0,1,1,open-ended,2,1973,F,2,3,0,2.83,5.19,30.5,1.03
2642.0,2600.0,2642.0,0.0,3,0,7,private_portal,Aalborg Øst,shared_room,27.0,1,0,1,0,open-ended,4,1987,D,0,2,0,3.39,2.15,13.8,1.04
6119.0,5863.0,6119.0,0.0,7,0,3,studiebolig_central,Centrum,1br,55.4,0,0,1,1,open-ended,2,1956,G,1,6,0,0.2,3.37,16.1,0.99
2624.0,2600.0,2624.0,0.0,13,0,4,private_portal,Skalborg,dorm_room,21.4,1,1,1,1,open-ended,2,1968,F,0,2,1,5.26,6.26,27.6,1.0
5892.0,5892.0,5892.0,0.0,10,0,5,private_portal,Aalborg Øst,1br,65.2,0,0,1,1,open-ended,4,1981,E,2,2,0,4.35,1.73,13.6,1.01
7533.0,7500.0,7913.0,0.048,23,1,5,private_portal,Øgadekvarteret,2br,63.5,0,0,1,1,open-ended,3,1999,E,1,6,0,1.69,3.12,19.4,1.01
2923.0,2600.0,2923.0,0.0,4,0,6,studiebolig_central,Centrum,dorm_room,21.2,1,1,1,0,open-ended,3,1966,F,0,3,0,1.22,3.57,19.5,1.03
2697.0,2600.0,2845.0,0.052,29,1,3,private_portal,Vestbyen,dorm_room,20.6,1,1,0,0,open-ended,4,2017,B,3,5,0,0.63,3.9,25.5,0.99
2600.0,2600.0,2729.0,0.0473,13,1,6,studiebolig_central,Skalborg,dorm_room,24.4,1,1,0,0,fixed,1,1948,G,2,3,1,5.96,5.86,29.8,1.03
3931.0,3892.0,3931.0,0.0,1,0,6,studiebolig_central,Nørresundby,studio,40.7,1,1,0,1,fixed,2,2010,B,3,3,1,3.15,4.13,25.4,1.03
2643.0,2600.0,2808.0,0.0588,16,1,9,private_portal,Centrum,dorm_room,15.5,1,1,1,0,open-ended,4,1970,F,1,5,0,0.77,3.98,25.4,1.04
7258.0,7258.0,7258.0,0.0,3,0,4,private_portal,Centrum,1br,61.0,0,1,1,1,open-ended,3,1950,G,5,6,1,0.2,3.07,22.4,1.0
5000.0,5000.0,5194.0,0.0374,27,1,5,private_portal,Øgadekvarteret,1br,47.7,1,0,1,1,fixed,2,1990,E,4,4,0,1.68,3.05,18.1,1.01
2631.0,2600.0,2631.0,0.0,2,0,3,studiebolig_central,Øgadekvarteret,shared_room,19.3,0,1,0,1,fixed,4,1985,F,2,3,1,1.0,2.92,23.9,0.99
2651.0,2600.0,2651.0,0.0,0,0,4,private_portal,Centrum,dorm_room,17.7,1,1,0,0,open-ended,2,1974,F,6,6,1,0.2,3.84,26.3,1.0
7500.0,7500.0,7500.0,0.0,7,0,7,studiebolig_central,Vestbyen,2br,73.5,0,0,0,1,fixed,3,1985,D,1,2,0,1.5,3.5,26.0,1.04
5094.0,5000.0,5257.0,0.031,20,1,4,private_portal,Øgadekvarteret,1br,35.3,1,0,1,1,fixed,3,1974,F,0,3,0,2.31,1.56,13.4,1.0
7360.0,7360.0,7360.0,0.0,0,0,5,studiebolig_central,Centrum,1br,64.5,0,1,1,1,open-ended,2,1981,F,4,5,1,1.21,3.46,23.4,1.01
2654.0,2600.0,2779.0,0.045,23,1,2,private_portal,Hasseris,dorm_room,19.5,1,1,1,1,open-ended,3,2004,D,3,4,0,2.84,4.21,19.8,0.97
2639.0,2600.0,2639.0,0.0,5,0,8,private_portal,Hasseris,dorm_room,22.4,1,1,0,0,fixed,3,1985,F,0,3,1,2.75,3.44,20.5,1.08
8629.0,8521.0,8629.0,0.0,7,0,6,studiebolig_central,Centrum,2br,63.6,0,0,1,1,fixed,2,1971,F,0,2,1,0.2,3.39,20.9,1.03
3927.0,3927.0,3927.0,0.0,0,0,3,studiebolig_central,Centrum,studio,33.6,1,1,1,1,fixed,4,1978,E,3,4,1,1.05,4.18,23.6,0.99
6051.0,6023.0,6051.0,0.0,11,0,4,private_portal,Øgadekvarteret,1br,54.3,0,1,1,1,open-ended,3,2004,C,0,4,0,1.39,4.23,18.6,1.0
3912.0,3701.0,3912.0,0.0,13,0,2,private_portal,Centrum,studio,32.7,1,1,0,0,open-ended,2,1968,F,2,4,0,1.23,4.3,23.5,0.97
2814.0,2600.0,2814.0,0.0,10,0,2,studiebolig_central,Centrum,dorm_room,17.0,1,0,0,1,fixed,3,2001,D,1,3,0,0.85,4.29,25.7,0.97
2600.0,2600.0,2600.0,0.0,0,0,8,private_portal,Skalborg,shared_room,19.9,1,0,1,1,open-ended,4,1957,G,1,2,0,3.61,4.74,29.0,1.08
5534.0,5259.0,5534.0,0.0,13,0,5,private_portal,Nørresundby,1br,53.8,0,0,1,1,open-ended,3,2001,D,3,3,0,2.69,4.29,23.3,1.01
7260.0,7123.0,7260.0,0.0,2,0,3,private_portal,Øgadekvarteret,1br,60.5,0,0,1,1,open-ended,4,1965,F,2,4,1,1.58,2.48,21.3,0.99
3553.0,3400.0,3553.0,0.0,14,0,7,private_portal,Øgadekvarteret,studio,29.5,0,0,1,1,open-ended,2,1966,E,2,4,0,2.86,3.38,20.5,1.04
4288.0,4154.0,4288.0,0.0,0,0,7,studiebolig_central,Hasseris,studio,33.3,1,1,1,0,fixed,3,1972,G,2,2,0,2.68,2.71,22.2,1.04
2600.0,2600.0,2691.0,0.0338,11,1,9,private_portal,Centrum,dorm_room,21.3,1,1,1,0,open-ended,4,1994,C,3,4,1,0.2,3.32,27.2,1.04
2600.0,2600.0,2718.0,0.0434,26,1,3,private_portal,Centrum,dorm_room,25.0,1,0,1,1,fixed,4,1983,F,4,4,1,1.11,3.36,19.3,0.99
7602.0,7500.0,7602.0,0.0,6,0,3,private_portal,Vestbyen,2br,51.2,0,0,1,1,open-ended,2,2018,B,2,3,1,1.92,4.72,23.1,0.99
4550.0,4372.0,4776.0,0.0473,21,1,2,private_portal,Hasseris,studio,28.5,1,1,1,1,fixed,3,2005,C,1,5,0,2.51,4.11,25.9,0.97
6086.0,6086.0,6086.0,0.0,2,0,2,private_portal,Centrum,1br,58.5,0,0,1,1,open-ended,2,1961,E,0,5,0,0.24,3.01,21.5,0.97
3541.0,3400.0,3541.0,0.0,2,0,9,private_portal,Skalborg,studio,36.9,1,0,1,1,fixed,3,1987,F,0,3,0,4.58,6.42,36.4,1.04
7625.0,7500.0,8056.0,0.0535,40,1,6,private_portal,Aalborg Øst,2br,67.2,0,0,1,1,open-ended,2,1968,E,0,2,0,3.63,1.82,13.0,1.03
5619.0,5546.0,5901.0,0.0478,18,1,1,private_portal,Centrum,studio,41.6,1,1,1,1,open-ended,4,2002,E,2,3,0,0.32,3.5,21.2,0.96
3984.0,3883.0,3984.0,0.0,3,0,5,private_portal,Øgadekvarteret,studio,37.8,1,0,1,1,open-ended,2,2002,E,4,4,1,1.37,3.4,25.3,1.01
7794.0,7500.0,8053.0,0.0322,39,1,1,studiebolig_central,Øgadekvarteret,2br,57.7,0,0,1,1,fixed,3,1969,F,4,5,1,1.87,3.48,20.5,0.96
4442.0,4366.0,4442.0,0.0,8,0,5,private_portal,Øgadekvarteret,studio,36.5,1,1,0,1,fixed,3,2018,C,3,5,0,1.99,2.68,17.2,1.01
2816.0,2600.0,2816.0,0.0,14,0,4,private_portal,Centrum,dorm_room,13.9,1,1,0,1,open-ended,3,2018,A,1,4,1,0.22,2.46,14.5,1.0
3984.0,3865.0,4121.0,0.0332,51,1,5,studiebolig_central,Øgadekvarteret,studio,35.8,1,1,1,1,open-ended,2,1967,E,0,6,0,1.9,2.84,20.9,1.01
5028.0,5000.0,5028.0,0.0,3,0,1,private_portal,Aalborg Øst,1br,33.6,0,1,1,1,open-ended,4,1934,E,1,3,0,4.03,2.05,13.8,0.96
2600.0,2600.0,2600.0,0.0,6,0,1,private_portal,Skalborg,shared_room,19.0,0,1,1,1,fixed,4,1975,F,0,5,0,4.75,6.2,27.2,0.96
2600.0,2600.0,2600.0,0.0,2,0,3,studiebolig_central,Nørresundby,dorm_room,18.2,1,1,0,1,open-ended,3,1958,G,2,2,0,1.65,4.92,23.9,0.99
4079.0,4219.0,4283.0,0.0476,34,1,5,studiebolig_central,Skalborg,studio,49.4,1,0,1,1,fixed,2,2016,B,2,2,0,5.11,6.56,29.8,1.01
2600.0,2600.0,2788.0,0.0674,60,1,1,private_portal,Aalborg Øst,shared_room,18.6,1,0,1,1,open-ended,3,1949,E,1,4,0,3.42,1.48,9.6,0.96
7302.0,7302.0,7302.0,0.0,0,0,1,private_portal,Centrum,1br,55.6,0,0,1,1,fixed,4,2019,A,2,7,0,0.63,3.81,21.4,0.96
3400.0,3400.0,3400.0,0.0,1,0,3,studiebolig_central,Vestbyen,studio,26.1,1,0,1,1,fixed,2,1992,E,0,2,0,1.94,3.94,26.3,0.99
2600.0,2600.0,2724.0,0.0455,15,1,8,studiebolig_central,Centrum,dorm_room,17.7,1,1,0,0,fixed,2,2002,D,1,4,0,0.35,3.45,20.9,1.08
9507.0,9568.0,9946.0,0.0441,21,1,6,private_portal,Hasseris,1br,60.2,1,0,1,1,open-ended,3,1995,D,1,2,0,2.06,3.24,21.6,1.03
3687.0,3426.0,3687.0,0.0,15,0,1,studiebolig_central,Vestbyen,studio,40.8,1,1,1,1,fixed,3,1985,F,1,2,0,2.4,4.29,21.9,0.96
5000.0,5000.0,5000.0,0.0,15,0,8,private_portal,Skalborg,1br,36.3,0,0,1,1,fixed,3,2010,C,2,3,0,5.49,5.13,30.5,1.08
9029.0,8624.0,9605.0,0.06,22,1,3,private_portal,Hasseris,1br,49.4,0,0,1,1,open-ended,3,2017,A,0,2,0,0.78,3.23,17.4,0.99
2600.0,2600.0,2600.0,0.0,0,0,5,private_portal,Øgadekvarteret,dorm_room,13.2,1,1,1,0,open-ended,4,1966,F,2,5,0,0.35,2.27,19.2,1.01
3900.0,3900.0,3900.0,0.0,1,0,6,private_portal,Centrum,studio,35.6,1,0,1,1,open-ended,3,1956,G,5,6,1,1.24,4.02,21.7,1.03
2642.0,2600.0,2792.0,0.0537,22,1,2,private_portal,Nørresundby,dorm_room,19.6,1,1,1,0,open-ended,3,1962,F,1,2,0,1.58,4.09,25.2,0.97
8505.0,8049.0,8505.0,0.0,8,0,7,private_portal,Øgadekvarteret,2br,68.4,0,0,1,1,open-ended,3,1978,D,0,6,0,1.9,3.56,22.7,1.04
2600.0,2600.0,2600.0,0.0,0,0,2,private_portal,Vestbyen,shared_room,26.7,0,1,0,1,open-ended,3,1984,E,2,2,0,0.77,4.18,23.2,0.97
3447.0,3400.0,3587.0,0.039,15,1,2,private_portal,Centrum,studio,34.3,1,0,1,1,open-ended,3,1976,E,2,6,1,1.48,3.12,18.5,0.97
2668.0,2600.0,2792.0,0.0444,26,1,6,studiebolig_central,Nørresundby,shared_room,21.7,0,1,1,0,fixed,3,1990,D,0,3,0,1.46,5.15,31.8,1.03
2600.0,2600.0,2600.0,0.0,1,0,5,studiebolig_central,Skalborg,dorm_room,17.2,1,1,1,1,fixed,4,1972,E,2,2,0,4.66,5.43,25.5,1.01
6796.0,6780.0,6796.0,0.0,11,0,1,private_portal,Hasseris,1br,54.1,0,0,1,1,open-ended,2,1982,E,0,2,0,1.9,4.14,21.8,0.96
2692.0,2600.0,2692.0,0.0,10,0,8,studiebolig_central,Nørresundby,shared_room,24.3,1,0,1,1,fixed,3,1970,E,2,2,0,2.03,3.59,22.3,1.08
2613.0,2600.0,2613.0,0.0,0,0,7,studiebolig_central,Centrum,dorm_room,15.6,1,1,0,0,fixed,2,2010,C,5,5,1,0.2,3.6,20.2,1.04
7500.0,7500.0,7500.0,0.0,3,0,8,studiebolig_central,Nørresundby,2br,58.8,0,0,1,1,fixed,3,1966,G,0,4,0,1.36,4.08,25.4,1.08
2645.0,2600.0,2645.0,0.0,7,0,8,private_portal,Skalborg,dorm_room,17.7,1,1,1,0,fixed,3,1981,E,2,2,0,4.61,6.18,35.9,1.08
2626.0,2600.0,2738.0,0.0409,16,1,6,studiebolig_central,Centrum,shared_room,15.2,0,0,1,0,fixed,2,1996,D,3,5,0,0.63,4.09,28.5,1.03
2692.0,2600.0,2692.0,0.0,13,0,4,studiebolig_central,Centrum,dorm_room,13.3,1,1,0,1,fixed,2,1943,E,2,4,0,1.2,3.82,23.0,1.0
2600.0,2600.0,2600.0,0.0,2,0,7,private_portal,Centrum,dorm_room,21.1,1,1,0,0,open-ended,4,2018,B,0,3,0,0.2,3.76,23.0,1.04
3400.0,3400.0,3400.0,0.0,8,0,4,private_portal,Vestbyen,studio,28.6,1,0,1,1,open-ended,3,1968,G,1,4,1,1.05,3.84,20.0,1.0
6152.0,6024.0,6152.0,0.0,10,0,2,private_portal,Hasseris,1br,56.4,0,0,1,1,open-ended,4,1932,E,1,2,0,2.86,5.58,29.7,0.97
5237.0,5000.0,5237.0,0.0,22,0,5,studiebolig_central,Aalborg Øst,1br,38.0,1,0,1,1,fixed,4,1996,D,2,4,1,3.88,0.39,10.4,1.01
3400.0,3400.0,3400.0,0.0,6,0,6,private_portal,Centrum,studio,29.2,1,0,1,1,open-ended,3,1969,E,5,6,1,0.68,3.08,20.3,1.03
6550.0,6550.0,7029.0,0.0681,60,1,6,private_portal,Centrum,1br,55.0,0,0,1,1,fixed,2,1985,F,4,5,1,0.94,4.05,19.9,1.03
2647.0,2600.0,2647.0,0.0,2,0,4,studiebolig_central,Vestbyen,dorm_room,18.1,1,1,1,1,open-ended,3,1963,G,1,2,0,1.93,3.17,21.5,1.0
5130.0,5130.0,5130.0,0.0,0,0,7,studiebolig_central,Vestbyen,1br,50.1,0,0,1,1,fixed,2,1943,E,1,3,1,0.43,3.75,17.2,1.04
5138.0,5000.0,5138.0,0.0,17,0,5,private_portal,Øgadekvarteret,1br,46.5,0,0,1,1,fixed,2,1993,C,3,5,0,0.89,3.2,20.2,1.01
3693.0,3693.0,3693.0,0.0,3,0,3,private_portal,Centrum,studio,31.5,1,0,1,1,fixed,4,1960,G,1,4,0,1.16,2.9,12.8,0.99
5295.0,5281.0,5295.0,0.0,0,0,7,private_portal,Hasseris,studio,38.5,0,0,1,1,fixed,3,1990,C,1,3,1,2.19,4.84,23.3,1.04
2600.0,2600.0,2600.0,0.0,4,0,7,studiebolig_central,Nørresundby,dorm_room,17.5,1,1,1,0,fixed,3,1966,F,0,2,0,1.41,4.04,21.5,1.04
3640.0,3400.0,3640.0,0.0,7,0,6,private_portal,Aalborg Øst,studio,30.4,0,1,1,1,open-ended,2,1990,C,0,2,0,3.69,1.23,14.7,1.03
5514.0,5514.0,5514.0,0.0,8,0,6,private_portal,Centrum,1br,46.2,1,0,1,1,fixed,4,1954,F,1,2,1,0.2,3.51,21.8,1.03
4066.0,3844.0,4188.0,0.0291,12,1,4,private_portal,Centrum,studio,32.3,0,1,1,1,open-ended,4,1981,F,2,3,1,0.86,2.42,15.0,1.0
9276.0,9259.0,9276.0,0.0,0,0,9,studiebolig_central,Øgadekvarteret,2br,87.7,0,0,1,1,fixed,2,1995,D,3,4,0,1.44,3.25,22.3,1.04
3184.0,3008.0,3184.0,0.0,1,0,4,private_portal,Hasseris,shared_room,23.4,0,1,1,0,open-ended,3,2019,A,4,5,1,2.49,4.43,20.6,1.0
4940.0,4702.0,4940.0,0.0,12,0,3,private_portal,Centrum,studio,47.8,1,0,1,1,fixed,3,1985,E,3,4,0,1.77,3.91,20.8,0.99
3420.0,3400.0,3420.0,0.0,1,0,2,private_portal,Centrum,studio,20.9,1,0,1,0,fixed,2,1937,E,0,4,1,0.76,3.5,26.8,0.97
4260.0,4053.0,4411.0,0.0342,23,1,6,studiebolig_central,Vestbyen,studio,40.8,1,1,1,1,fixed,3,1942,G,2,2,0,1.45,3.95,25.4,1.03
2835.0,2600.0,2835.0,0.0,12,0,5,studiebolig_central,Nørresundby,shared_room,18.7,1,0,1,1,open-ended,1,2001,D,0,2,0,2.25,4.33,20.1,1.01
7767.0,7525.0,7767.0,0.0,1,0,6,studiebolig_central,Øgadekvarteret,2br,65.6,0,0,1,1,open-ended,2,1944,F,4,6,1,1.11,2.71,16.5,1.03
2621.0,2600.0,2621.0,0.0,9,0,5,studiebolig_central,Centrum,shared_room,16.8,1,0,1,1,fixed,3,1965,F,0,6,0,1.93,3.62,18.1,1.01
3400.0,3400.0,3400.0,0.0,7,0,3,private_portal,Aalborg Øst,studio,35.0,0,1,1,1,open-ended,3,2002,E,0,4,0,4.87,0.36,9.9,0.99
3581.0,3400.0,3581.0,0.0,1,0,8,studiebolig_central,Nørresundby,studio,32.1,0,1,1,1,fixed,3,1975,E,3,3,0,2.03,5.72,36.2,1.08
2648.0,2600.0,2648.0,0.0,4,0,8,studiebolig_central,Centrum,shared_room,15.1,1,0,1,1,fixed,4,1957,G,3,5,0,0.86,3.92,25.4,1.08
5211.0,5099.0,5211.0,0.0,12,0,4,studiebolig_central,Øgadekvarteret,1br,43.8,1,1,1,1,fixed,3,1994,D,1,2,1,1.57,2.29,19.6,1.0
2855.0,2600.0,2855.0,0.0,10,0,2,studiebolig_central,Aalborg Øst,shared_room,21.4,1,1,1,0,open-ended,3,1977,F,3,3,1,3.83,2.29,17.0,0.97
