age,membership_tier,bookings_30d,late_cancels_30d,lead_time_hours,class_start_hour,day_of_week,instructor_pop,received_reminder,rain_risk,distance_km,no_show_next_class
51,basic,1,0,0,13,Thu,3,0,medium,8.4,0
27,plus,3,0,33,13,Thu,3,0,medium,6.8,1
29,vip,1,0,26,19,Sat,5,1,high,14.3,1
36,plus,5,1,4,7,Thu,3,0,medium,8.8,1
37,vip,1,0,50,17,Sun,4,1,low,5.8,0
30,plus,7,0,55,10,Tue,5,0,low,2.2,1
24,basic,5,0,25,14,Mon,5,1,medium,6.8,0
41,basic,1,0,3,14,Mon,5,0,medium,8.4,0
32,basic,8,2,70,17,Sat,2,0,low,15.2,0
43,basic,1,0,95,16,Thu,5,1,low,7.9,0
44,plus,3,1,155,14,Tue,5,0,low,11.2,0
27,basic,3,0,37,11,Fri,4,0,medium,17.2,0
33,basic,2,0,144,15,Mon,5,0,medium,11.3,1
43,plus,3,0,5,18,Thu,2,0,medium,10.5,0
42,vip,2,0,6,17,Fri,3,1,medium,11.6,1
31,basic,2,2,55,17,Tue,3,0,low,6.2,1
54,basic,1,0,0,20,Sat,1,0,medium,4.0,1
52,basic,1,0,48,13,Mon,5,1,high,2.6,1
26,plus,4,1,20,18,Fri,2,0,low,5.7,1
34,plus,3,0,6,6,Sat,3,1,high,4.9,0
52,basic,2,0,44,7,Sun,2,1,medium,5.3,1
41,basic,1,0,33,8,Thu,3,1,low,3.0,1
33,basic,1,1,167,13,Sat,5,1,low,10.3,1
31,basic,1,1,26,12,Tue,3,0,low,8.9,1
45,plus,6,2,115,18,Wed,2,1,medium,9.1,1
46,plus,2,0,40,13,Thu,4,0,low,3.6,1
45,vip,1,0,65,13,Thu,3,0,medium,3.3,0
48,basic,17,2,43,18,Fri,2,0,low,10.4,0
23,vip,5,0,3,19,Sat,5,0,high,6.0,0
60,basic,2,1,3,21,Fri,1,0,high,7.7,0
18,basic,1,0,26,10,Sat,3,0,low,11.8,1
18,plus,1,0,21,16,Thu,3,1,low,5.8,0
35,basic,1,0,2,15,Sun,3,0,low,4.8,0
47,plus,2,1,58,18,Mon,3,1,medium,8.2,1
48,basic,1,0,3,10,Mon,4,0,low,8.9,0
40,vip,5,0,52,11,Sat,3,0,low,20.0,0
38,plus,1,0,71,18,Sun,3,1,low,6.5,1
22,basic,5,1,168,10,Fri,1,1,low,11.5,1
37,basic,7,1,29,19,Mon,3,1,high,3.0,1
44,basic,1,1,35,12,Tue,4,0,low,11.9,1
38,basic,8,2,12,14,Mon,4,1,low,11.3,0
37,basic,1,0,13,13,Mon,4,1,high,6.0,0
36,basic,6,0,1,12,Sat,2,0,medium,4.8,0
58,vip,1,0,64,9,Wed,3,1,medium,10.2,1
25,basic,1,0,132,19,Sat,5,1,high,7.9,0
28,plus,7,0,125,21,Thu,2,1,low,8.2,0
44,plus,8,0,2,12,Sun,3,0,low,6.0,0
27,plus,2,0,67,10,Thu,3,0,medium,9.3,1
45,basic,5,1,121,10,Wed,5,1,high,4.2,1
24,basic,3,0,51,20,Mon,3,1,low,8.6,0
26,plus,5,2,12,7,Tue,2,0,low,6.3,1
32,plus,6,0,31,10,Thu,3,1,low,8.3,0
30,basic,7,0,1,9,Thu,2,1,low,1.9,0
23,basic,3,0,53,19,Thu,2,1,medium,8.1,0
38,basic,4,1,107,13,Fri,3,1,high,13.8,1
26,basic,2,1,12,13,Sun,3,1,low,2.9,1
42,vip,3,0,1,10,Thu,4,0,medium,6.0,0
30,vip,7,0,34,13,Thu,3,0,medium,4.9,1
33,basic,3,0,59,6,Sat,4,0,medium,7.7,1
26,plus,1,0,70,19,Fri,3,1,medium,5.5,1
26,plus,1,0,48,19,Tue,5,1,medium,5.1,1
18,basic,1,0,162,10,Sun,5,1,high,6.2,0
25,vip,9,2,137,20,Sat,5,1,low,4.7,0
27,vip,2,0,12,18,Sat,4,0,medium,8.0,0
60,basic,4,1,164,10,Thu,4,1,medium,5.4,1
63,basic,1,0,49,9,Mon,3,1,low,9.0,1
42,basic,1,0,2,10,Fri,4,0,medium,14.5,0
50,vip,2,0,64,19,Tue,5,1,medium,2.8,0
37,basic,1,0,39,19,Fri,2,1,medium,4.8,0
31,plus,1,0,1,18,Sat,3,0,low,6.1,0
28,vip,11,0,150,10,Mon,5,1,low,11.2,0
56,basic,2,0,149,13,Fri,4,1,low,17.7,0
43,vip,1,0,30,12,Mon,5,1,low,11.2,0
54,basic,2,0,87,11,Tue,5,1,low,3.2,0
22,vip,1,0,104,13,Tue,3,1,medium,7.7,0
48,basic,2,0,66,8,Sun,5,1,low,16.3,0
50,basic,8,2,20,12,Thu,3,1,low,9.6,0
36,basic,7,3,21,12,Mon,5,0,low,12.2,0
28,basic,2,0,138,12,Fri,4,1,low,13.6,0
18,basic,2,1,47,20,Mon,3,0,low,6.8,1
18,basic,1,0,146,7,Fri,3,1,medium,7.8,0
33,basic,5,2,5,15,Wed,3,0,medium,6.6,0
42,basic,1,1,2,18,Sun,3,0,high,3.2,1
38,basic,1,0,56,17,Wed,3,1,low,16.9,0
52,plus,1,0,6,9,Sat,5,0,medium,4.6,0
42,plus,2,0,66,17,Wed,3,0,low,5.9,0
36,basic,6,0,24,20,Fri,3,0,low,6.3,0
37,basic,1,0,35,12,Fri,5,1,medium,17.8,0
27,vip,2,0,78,12,Sat,5,1,low,5.0,0
39,plus,3,0,2,10,Fri,2,0,medium,9.7,0
62,plus,1,0,60,18,Mon,3,0,medium,13.1,0
35,basic,3,0,6,8,Wed,4,1,high,13.2,0
36,vip,6,1,51,6,Thu,5,0,low,20.1,0
37,basic,3,1,156,8,Sun,3,1,low,9.9,1
37,plus,1,0,43,13,Sat,5,1,low,0.8,0
34,vip,1,1,40,14,Sat,2,1,low,3.8,1
45,basic,1,0,95,8,Fri,4,1,low,13.1,0
30,basic,2,0,24,20,Wed,4,1,low,2.3,0
56,basic,1,0,27,18,Sun,2,1,low,17.5,0
47,plus,4,1,111,10,Fri,4,1,high,3.2,0
29,vip,2,1,16,10,Sat,5,0,medium,1.8,1
36,basic,6,0,14,12,Thu,4,1,low,10.6,0
25,vip,6,1,95,18,Sat,3,1,low,8.2,1
26,basic,5,3,65,15,Wed,3,0,medium,9.4,1
42,basic,1,0,95,15,Wed,4,1,high,9.0,0
38,plus,1,0,42,18,Sat,3,0,medium,16.6,0
42,basic,6,0,9,21,Sat,2,1,medium,5.6,0
28,vip,2,1,155,15,Mon,4,1,low,6.5,0
35,plus,3,1,64,19,Tue,5,0,medium,3.4,1
48,basic,7,1,1,21,Thu,2,0,low,4.1,1
44,vip,1,0,26,7,Tue,5,1,high,6.9,0
50,plus,3,0,15,12,Tue,2,1,low,9.4,1
36,plus,1,0,13,19,Sat,5,0,low,8.6,0
44,basic,1,0,32,14,Sat,2,1,low,5.7,1
40,basic,2,0,138,14,Sat,2,1,medium,2.3,0
39,basic,2,1,29,18,Tue,3,1,low,9.2,0
30,basic,1,0,23,19,Wed,3,1,low,3.6,0
42,basic,2,0,47,18,Fri,2,1,low,11.9,0
73,plus,1,0,51,14,Sun,5,1,medium,4.2,0
38,plus,2,0,1,13,Sat,2,0,low,16.3,1
39,basic,5,0,65,14,Thu,1,0,high,3.5,1
38,basic,5,1,1,21,Mon,5,0,low,10.0,1
30,vip,3,0,4,13,Sat,1,0,low,5.2,0
55,basic,4,0,139,20,Mon,4,1,low,11.0,0
44,basic,2,0,140,14,Mon,2,0,medium,6.1,1
18,plus,3,0,122,19,Tue,5,1,medium,3.3,0
25,basic,2,0,87,19,Wed,5,0,high,4.6,0
34,basic,1,0,160,7,Sun,4,0,medium,7.0,0
42,plus,3,0,7,10,Mon,4,1,high,7.0,0
18,vip,2,0,62,9,Tue,3,1,medium,14.8,0
18,vip,3,0,138,11,Fri,4,1,low,5.1,0
36,basic,2,0,67,7,Wed,3,1,medium,5.5,1
34,basic,2,1,0,9,Tue,3,0,medium,9.6,1
28,vip,2,0,37,21,Tue,4,1,low,11.8,0
41,plus,10,0,13,12,Sat,4,1,low,11.1,0
21,vip,2,0,47,13,Thu,4,1,low,3.1,0
55,plus,1,1,139,19,Fri,2,0,low,5.4,1
31,basic,2,1,160,7,Sun,2,1,medium,5.1,1
18,plus,2,0,2,7,Fri,3,0,medium,4.0,0
38,basic,3,1,22,18,Fri,3,1,medium,6.5,0
32,basic,1,0,47,13,Sun,4,1,medium,11.0,0
30,vip,2,0,67,9,Sun,4,0,medium,6.0,0
22,vip,1,0,20,18,Thu,2,1,medium,17.1,0
29,basic,1,0,49,19,Thu,1,1,medium,2.6,0
23,plus,9,1,71,15,Fri,3,1,low,6.6,0
18,basic,2,0,31,7,Wed,3,1,medium,8.6,1
21,basic,1,0,1,11,Tue,1,0,high,2.3,1
18,basic,1,1,46,11,Wed,3,1,low,11.7,1
62,plus,5,1,48,6,Wed,2,1,low,12.1,1
30,vip,7,1,47,18,Sun,3,1,high,4.9,0
38,plus,2,0,16,6,Sun,5,1,low,14.8,0
36,basic,1,0,6,17,Sat,1,1,low,1.5,1
38,basic,12,2,1,16,Fri,3,0,low,13.4,0
40,basic,7,2,50,13,Wed,3,1,low,8.8,0
37,basic,6,0,161,8,Tue,3,1,low,15.5,0
32,basic,9,2,29,13,Wed,3,1,medium,12.4,0
33,basic,3,0,40,12,Tue,2,1,low,8.0,1
50,basic,5,2,59,11,Fri,2,1,medium,11.4,1
45,basic,2,1,59,21,Sat,2,1,high,8.6,1
39,plus,6,0,27,14,Fri,3,1,low,5.7,0
29,plus,3,1,7,20,Sat,5,0,low,8.4,0
61,vip,2,0,89,16,Sat,4,1,low,8.1,0
22,vip,4,1,26,19,Fri,1,1,low,15.7,1
26,plus,4,0,1,12,Sat,4,0,low,16.9,0
39,vip,5,0,7,11,Thu,3,0,medium,3.8,1
35,basic,3,0,62,11,Tue,3,1,high,9.3,0
56,plus,1,0,79,11,Wed,2,1,medium,10.3,1
28,basic,10,1,40,7,Sat,1,1,low,1.9,0
36,basic,6,0,71,15,Sat,5,1,low,8.5,1
25,vip,4,0,63,7,Mon,3,1,low,0.1,0
58,plus,1,0,5,10,Sat,5,0,medium,5.5,1
34,plus,1,0,43,21,Wed,4,1,low,10.8,0
43,plus,2,0,58,21,Tue,4,1,low,15.1,1
38,basic,1,0,29,11,Thu,3,0,low,10.7,0
33,basic,3,0,37,18,Wed,2,1,medium,10.0,0
40,basic,3,1,98,17,Sun,4,0,low,2.4,0
28,vip,3,1,36,15,Thu,2,1,low,9.6,1
32,plus,2,0,1,12,Mon,2,0,low,4.4,0
40,vip,9,0,22,19,Sat,5,1,high,21.2,0
39,plus,6,1,20,20,Sun,5,1,medium,5.1,0
56,basic,1,0,138,20,Wed,4,1,medium,15.0,0
39,plus,3,1,60,20,Sun,4,0,low,1.5,0
19,basic,2,1,5,8,Tue,3,0,low,2.8,1
36,basic,1,0,78,13,Fri,2,1,medium,10.2,0
18,basic,1,0,4,19,Thu,3,0,medium,15.6,0
31,basic,5,1,28,21,Thu,5,1,low,14.4,0
39,basic,4,1,5,7,Mon,4,0,low,11.0,1
18,basic,2,2,40,10,Thu,4,0,medium,4.4,1
50,plus,2,0,4,9,Sun,3,0,medium,2.7,0
38,plus,6,0,68,19,Thu,3,1,medium,14.3,0
26,basic,4,0,40,12,Mon,1,1,low,7.0,0
40,basic,3,2,50,8,Sun,5,1,low,7.7,1
18,basic,2,0,28,15,Mon,5,1,medium,11.3,0
35,vip,2,0,15,14,Sun,2,0,medium,4.9,0
48,basic,1,0,2,18,Wed,5,1,medium,15.9,0
23,plus,1,1,23,13,Fri,3,1,high,6.7,1
35,basic,3,0,49,21,Tue,5,1,medium,5.3,0
28,vip,4,0,107,12,Mon,2,1,medium,8.8,0
40,vip,4,0,79,19,Mon,2,1,high,6.7,0
30,vip,5,0,135,13,Sun,3,1,low,3.9,1
51,plus,1,0,86,19,Mon,2,1,high,6.0,0
26,plus,1,0,70,19,Sat,5,1,medium,13.9,1
18,vip,1,0,42,18,Thu,4,1,low,12.0,0
41,basic,1,0,101,8,Thu,1,1,low,2.8,0
44,basic,2,1,19,14,Wed,4,1,medium,12.6,0
52,basic,2,1,6,9,Mon,3,1,low,9.9,1
38,basic,3,0,78,13,Fri,3,0,low,8.1,0
48,basic,1,0,33,20,Wed,4,0,low,13.9,0
27,basic,4,1,37,13,Sat,5,1,high,7.6,0
39,plus,3,1,1,12,Tue,2,0,low,5.7,1
31,basic,1,0,67,11,Wed,2,1,medium,6.8,0
50,basic,1,0,48,19,Tue,4,1,low,8.0,0
31,plus,5,0,111,20,Sat,1,1,medium,13.3,1
19,plus,2,1,1,12,Fri,5,0,medium,10.2,0
18,basic,3,0,43,19,Tue,5,0,medium,3.9,0
38,basic,4,0,51,15,Sun,2,1,low,1.5,0
24,plus,2,1,14,17,Sat,1,1,low,7.4,1
39,plus,6,0,65,13,Sun,1,1,low,21.3,1
23,vip,6,0,5,12,Sat,5,0,low,4.6,0
20,plus,2,0,10,6,Tue,3,1,low,7.9,1
23,vip,3,0,2,16,Tue,3,0,medium,3.4,0
46,plus,2,0,26,13,Tue,2,1,low,5.4,1
39,plus,9,0,150,18,Thu,4,1,medium,10.8,0
40,plus,4,1,11,11,Fri,4,1,medium,8.5,1
39,basic,2,2,113,19,Fri,3,1,medium,12.1,1
43,basic,1,0,0,14,Thu,1,0,high,6.5,0
35,basic,3,0,3,12,Fri,5,0,medium,4.8,0
18,basic,1,1,139,11,Thu,4,0,low,4.9,1
39,plus,11,1,110,10,Mon,4,1,high,7.9,0
18,plus,2,0,1,19,Thu,5,0,medium,5.9,0
30,vip,1,1,101,17,Sat,3,1,low,3.6,1
44,basic,2,0,57,11,Sat,5,1,medium,16.5,0
47,basic,1,0,8,11,Fri,2,1,low,1.0,1
39,plus,5,0,18,14,Wed,5,1,low,12.3,0
18,plus,1,1,5,20,Sat,2,0,high,13.1,1
37,basic,9,0,7,13,Thu,2,1,low,15.6,1
40,vip,1,0,66,21,Wed,3,1,low,20.7,0
39,plus,2,0,10,16,Mon,5,0,low,3.4,0
38,basic,2,0,51,21,Fri,4,1,low,4.1,0
44,basic,4,2,100,13,Sat,2,1,low,5.8,1
47,vip,1,0,85,14,Mon,2,0,medium,8.3,0
18,plus,1,0,4,16,Tue,3,0,medium,13.5,0
25,basic,4,0,8,15,Wed,4,1,medium,7.2,0
38,basic,2,0,3,21,Wed,4,0,low,10.5,0
18,basic,1,0,46,20,Fri,2,1,low,5.1,0
19,basic,1,0,97,15,Mon,5,1,medium,5.4,1
44,basic,2,0,76,11,Sat,2,1,medium,9.5,0
39,basic,1,0,115,11,Mon,4,0,low,11.1,1
26,plus,1,0,42,18,Sun,3,1,high,16.8,0
38,basic,2,0,7,18,Sun,1,1,low,9.6,0
54,vip,1,0,53,14,Tue,2,1,high,2.7,1
18,basic,3,0,120,19,Mon,3,1,high,6.2,0
25,vip,1,0,62,21,Sat,1,1,low,8.0,0
43,plus,1,0,41,18,Fri,2,0,low,7.6,0
46,plus,3,1,5,19,Mon,2,0,high,10.9,0
40,basic,4,2,67,16,Sun,2,0,medium,5.9,1
28,basic,2,1,135,18,Sun,1,0,low,6.9,1
28,basic,10,3,95,13,Wed,4,1,low,3.9,1
31,plus,2,1,3,12,Fri,1,0,low,9.9,0
37,vip,2,0,53,12,Sat,4,0,low,1.3,0
40,plus,1,1,20,19,Tue,4,1,low,14.9,1
36,basic,1,0,62,8,Mon,4,1,medium,7.4,0
53,plus,2,1,71,17,Thu,2,0,low,9.2,1
39,plus,3,0,52,19,Mon,2,0,high,17.5,1
36,basic,1,0,41,7,Thu,3,1,medium,4.3,0
39,basic,2,0,2,18,Thu,4,0,medium,3.7,0
44,plus,1,0,85,14,Tue,3,0,medium,3.7,0
39,plus,1,0,55,18,Tue,5,1,low,3.3,0
26,basic,5,0,1,18,Tue,5,0,low,6.8,0
25,basic,5,0,131,12,Wed,4,1,low,7.4,1
36,vip,6,1,3,12,Thu,4,0,low,10.1,0
46,basic,1,1,38,18,Thu,3,1,low,8.4,1
41,plus,2,0,27,19,Thu,5,1,medium,3.2,0
22,basic,2,0,42,17,Sat,1,1,low,10.0,0
18,basic,1,1,27,20,Tue,2,1,low,5.5,1
28,vip,3,0,28,7,Tue,3,0,low,12.2,1
18,basic,4,1,23,19,Sun,5,1,low,4.7,1
42,basic,3,0,117,19,Tue,2,1,medium,4.9,1
36,basic,1,0,24,11,Thu,4,1,low,5.6,0
31,basic,1,0,96,8,Sat,2,1,low,1.6,0
42,basic,2,1,66,13,Sat,3,0,low,14.4,1
25,vip,4,0,3,20,Sun,3,0,low,2.4,1
38,plus,1,1,60,19,Sat,4,1,low,6.1,1
50,plus,1,1,61,20,Fri,5,1,low,6.9,1
34,basic,1,1,4,14,Sat,2,0,low,12.6,1
25,basic,3,0,8,20,Thu,4,1,medium,4.4,0
37,plus,4,1,21,11,Sun,3,1,low,6.3,1
19,plus,5,2,70,13,Sat,1,1,low,14.4,0
39,basic,3,0,13,13,Wed,5,1,medium,6.8,0
36,plus,1,0,4,19,Fri,2,0,medium,12.7,1
26,basic,1,0,114,10,Sun,5,0,high,5.0,0
35,plus,5,0,52,13,Wed,5,0,medium,5.7,0
45,basic,2,1,105,14,Sat,2,1,medium,15.9,1
32,basic,1,0,63,18,Sat,2,1,medium,11.1,1
27,vip,3,0,6,11,Sun,4,1,low,1.2,0
19,vip,1,0,3,12,Sun,2,0,medium,4.1,0
39,plus,7,1,63,8,Wed,1,1,low,3.3,1
42,basic,7,1,56,15,Sun,1,0,medium,0.3,0
45,basic,3,1,0,18,Wed,4,0,low,14.0,0
25,vip,3,1,23,11,Sun,3,1,low,10.6,1
21,basic,6,1,29,20,Fri,2,1,low,5.2,0
21,plus,3,0,91,19,Tue,5,1,medium,4.3,1
53,basic,1,0,103,12,Sat,3,1,high,14.7,0
21,basic,2,0,94,13,Wed,3,0,low,4.5,0
54,basic,7,0,3,13,Wed,3,0,medium,4.9,1
52,vip,5,0,50,19,Sun,5,1,low,8.4,0
38,plus,1,0,59,15,Sun,2,1,low,6.3,0
18,basic,2,0,9,14,Fri,5,1,low,16.1,1
24,vip,3,1,5,7,Tue,4,0,medium,8.8,1
36,basic,5,0,57,16,Sat,4,0,low,10.3,0
30,plus,3,0,152,14,Fri,4,1,medium,6.6,0
44,plus,1,0,40,19,Mon,2,1,medium,12.4,1
39,plus,7,0,96,16,Mon,3,1,medium,18.1,0
37,basic,8,0,6,17,Fri,3,1,medium,16.4,0
36,vip,2,0,98,16,Sat,4,1,low,11.9,0
31,plus,3,0,40,10,Sat,4,1,low,13.9,1
41,plus,2,0,126,18,Thu,3,0,low,4.1,0
58,basic,5,1,17,19,Fri,2,0,medium,13.2,0
64,basic,1,0,133,19,Tue,5,1,medium,7.8,0
45,basic,2,0,5,18,Sat,3,0,low,6.9,1
37,basic,2,0,132,13,Mon,4,1,high,4.4,0
36,basic,5,3,152,13,Wed,3,0,medium,11.2,1
56,basic,4,0,158,10,Wed,5,1,low,11.4,0
62,plus,6,1,73,20,Fri,3,1,low,9.7,1
24,basic,4,0,56,18,Sun,2,1,low,8.1,0
29,plus,2,0,5,16,Tue,4,0,medium,21.9,0
30,vip,2,1,69,18,Fri,2,1,medium,8.7,1
36,basic,8,0,7,16,Sun,3,1,low,5.5,0
32,vip,1,1,16,12,Tue,2,1,high,4.1,1
23,basic,1,0,85,19,Sun,5,0,low,1.3,0
23,vip,9,1,7,14,Thu,4,0,low,5.5,0
30,vip,1,0,42,8,Thu,5,1,low,6.8,0
43,plus,1,0,116,12,Sun,5,1,low,5.3,1
