age,membership_tier,bookings_30d,late_cancels_30d,lead_time_hours,class_start_hour,day_of_week,instructor_pop,received_reminder,rain_risk,distance_km,no_show_next_class
37,plus,3,0,53,12,Sun,4,1,low,10.4,0
42,basic,1,0,19,16,Thu,2,1,low,6.0,0
43,basic,6,0,63,14,Sat,4,1,medium,11.8,0
25,basic,3,0,0,13,Tue,3,0,medium,9.8,0
48,plus,6,0,26,20,Sun,1,1,low,4.1,0
43,basic,6,1,35,21,Thu,5,1,high,5.4,0
21,plus,3,1,43,12,Mon,2,1,low,11.7,0
42,plus,3,0,36,14,Fri,3,1,low,10.1,0
50,plus,1,1,77,11,Fri,2,0,medium,12.5,0
47,vip,2,0,19,13,Wed,3,0,medium,0.7,0
31,plus,1,0,4,18,Sun,3,0,low,12.3,1
31,basic,1,0,38,18,Sat,4,1,low,5.3,0
35,basic,1,0,6,13,Sat,5,1,high,5.0,0
46,plus,3,0,47,18,Fri,3,0,medium,12.1,1
46,plus,13,1,3,8,Thu,3,0,high,6.9,0
41,plus,2,0,3,20,Tue,3,0,medium,14.9,1
43,plus,1,0,100,14,Thu,5,0,low,6.5,1
53,basic,1,0,50,17,Fri,2,0,low,14.8,0
47,basic,2,1,62,12,Sun,3,1,low,17.6,0
36,plus,1,0,14,18,Wed,4,1,low,2.3,0
25,basic,8,1,27,6,Thu,3,1,low,10.3,0
47,basic,1,1,64,10,Thu,1,1,medium,13.9,0
18,plus,12,0,113,12,Mon,5,1,low,9.8,0
49,plus,4,0,31,19,Thu,5,1,low,10.2,0
55,vip,5,0,138,15,Sun,4,1,medium,13.0,1
37,plus,1,0,3,10,Sun,5,0,medium,0.3,0
39,plus,1,0,25,6,Fri,3,1,low,2.5,0
23,basic,5,1,39,13,Wed,3,1,low,14.8,0
33,vip,1,0,58,18,Tue,1,1,medium,14.4,1
41,basic,1,0,43,12,Tue,3,0,low,7.8,0
18,plus,1,0,97,8,Sat,5,0,medium,16.8,1
36,basic,11,0,151,21,Sat,4,1,medium,11.6,1
48,basic,6,0,3,16,Fri,3,0,medium,17.5,0
29,vip,2,1,8,15,Sat,3,0,medium,7.4,0
36,basic,2,0,11,18,Tue,5,1,low,11.1,0
34,basic,1,0,3,9,Tue,5,0,medium,3.9,0
36,vip,10,0,64,11,Sun,5,1,low,7.9,0
47,basic,11,0,79,10,Sat,5,1,medium,7.9,1
27,plus,1,0,66,15,Sun,4,1,medium,6.7,0
37,basic,2,0,34,11,Mon,3,1,medium,3.1,0
47,basic,1,0,114,20,Sat,4,1,low,8.2,1
56,plus,2,0,66,18,Sun,5,1,high,16.7,1
31,basic,1,0,71,8,Wed,3,1,low,4.9,1
48,basic,1,0,3,13,Tue,3,0,medium,12.9,1
41,vip,1,0,29,18,Fri,3,1,low,7.2,0
47,plus,5,1,1,12,Sun,1,0,medium,7.0,0
52,plus,1,0,106,12,Tue,4,0,low,14.4,0
25,basic,7,0,11,12,Fri,1,1,medium,0.1,0
44,plus,5,0,144,14,Fri,4,1,low,18.1,0
31,basic,3,1,21,12,Wed,4,1,low,7.7,0
41,basic,1,0,77,15,Tue,3,1,medium,5.3,1
25,basic,1,0,2,20,Tue,3,0,medium,0.1,1
25,plus,3,0,40,17,Fri,2,1,low,11.1,0
18,basic,5,0,83,14,Sun,5,1,medium,8.4,0
39,plus,1,0,77,13,Fri,2,1,low,10.4,0
40,vip,2,0,10,6,Sun,1,1,low,7.4,0
44,basic,7,0,2,20,Sat,3,0,low,1.5,0
35,plus,4,0,57,19,Thu,2,1,low,3.2,0
54,basic,1,0,1,11,Sat,2,0,low,5.1,1
36,plus,4,1,2,8,Thu,5,0,low,6.7,0
25,basic,4,0,55,17,Thu,3,0,low,0.1,0
39,plus,2,0,41,14,Thu,3,0,low,0.6,1
46,basic,1,0,135,6,Thu,1,1,low,9.7,0
33,basic,4,0,149,20,Wed,5,1,low,2.3,0
31,basic,8,0,5,21,Sat,4,0,low,3.8,0
24,basic,1,0,95,11,Thu,1,0,medium,8.9,0
44,plus,1,0,129,20,Thu,2,0,low,9.0,1
31,plus,10,2,122,8,Sat,3,1,high,3.4,1
22,basic,3,0,59,18,Wed,3,1,low,4.9,1
41,basic,3,0,22,11,Sat,4,1,low,6.7,1
36,basic,1,0,37,17,Fri,3,1,low,6.9,0
37,plus,1,0,12,8,Tue,2,0,medium,14.8,0
43,vip,2,0,49,14,Thu,4,1,medium,6.0,0
25,basic,1,0,47,13,Sat,5,1,low,4.3,0
36,basic,9,0,116,17,Thu,3,1,low,0.2,0
27,plus,5,0,119,18,Sun,3,1,low,4.1,1
30,vip,4,0,1,6,Sat,4,0,low,0.1,1
30,vip,2,0,71,11,Tue,2,1,low,2.3,0
28,basic,2,0,57,16,Sat,4,1,low,2.2,0
45,basic,3,0,17,21,Sat,3,1,medium,10.4,1
43,basic,8,1,5,16,Fri,2,0,medium,2.8,0
47,basic,5,0,31,19,Sat,2,1,medium,6.1,0
38,basic,1,0,48,18,Thu,2,1,low,6.3,0
36,plus,2,0,4,19,Fri,5,0,medium,14.4,0
25,plus,1,0,80,9,Mon,3,1,low,10.5,1
32,basic,3,0,37,13,Mon,3,0,low,13.8,1
18,plus,1,1,4,13,Thu,3,0,medium,2.6,0
43,plus,1,0,24,11,Fri,2,1,medium,8.8,1
60,basic,1,0,72,14,Sun,5,1,medium,0.9,1
18,plus,7,1,113,21,Wed,3,0,high,16.1,0
46,basic,2,0,4,18,Mon,2,0,low,11.4,1
42,vip,2,0,33,7,Sun,5,0,medium,8.6,0
23,basic,1,0,24,6,Sun,5,1,low,15.2,1
38,plus,1,0,85,7,Mon,5,1,high,11.4,1
54,plus,3,1,167,16,Thu,3,1,low,12.7,0
38,plus,12,1,19,20,Sat,2,1,low,9.3,1
47,plus,10,0,37,15,Mon,3,0,low,7.4,0
45,plus,3,0,66,14,Tue,2,1,medium,2.7,0
35,vip,1,0,53,14,Sun,5,1,medium,16.2,1
46,plus,5,1,156,20,Sun,4,0,medium,9.7,0
42,basic,1,0,124,13,Sun,4,1,low,9.8,0
56,vip,2,0,28,9,Mon,3,1,low,15.0,0
46,plus,11,1,113,17,Wed,2,1,low,6.4,0
39,plus,3,1,70,19,Sat,5,1,low,1.4,0
31,basic,2,0,63,12,Sat,3,1,medium,5.7,0
35,basic,4,0,139,7,Thu,2,1,low,5.6,1
25,basic,8,0,9,8,Sun,4,1,medium,2.5,0
48,plus,2,0,54,10,Fri,3,1,low,7.8,1
39,plus,2,0,104,19,Sat,2,1,medium,6.5,0
28,plus,1,0,31,20,Wed,4,0,low,10.1,1
29,plus,3,0,4,11,Fri,4,0,low,16.5,0
43,basic,4,0,64,16,Fri,2,0,medium,11.8,0
45,plus,1,0,7,20,Sat,1,1,medium,4.6,0
50,plus,3,1,110,14,Wed,2,1,high,15.2,1
18,basic,1,0,43,17,Fri,3,1,low,7.6,0
53,basic,3,0,72,17,Fri,2,1,low,3.8,1
43,plus,2,0,99,15,Mon,4,1,high,6.6,1
47,plus,2,0,112,18,Sun,4,1,medium,4.2,1
45,plus,1,0,65,18,Sun,5,0,high,1.2,0
28,plus,1,0,41,15,Wed,3,1,medium,5.0,1
41,basic,3,0,27,12,Fri,1,1,medium,7.4,0
42,basic,3,0,7,21,Mon,1,1,low,6.4,1
34,basic,1,0,5,13,Wed,3,0,medium,9.8,1
37,basic,6,0,67,21,Tue,3,1,high,1.8,0
33,basic,2,0,28,18,Fri,4,1,low,4.4,0
43,basic,14,1,156,21,Tue,4,1,medium,4.5,0
47,basic,8,0,29,20,Tue,5,0,low,5.4,0
38,vip,2,0,92,7,Tue,2,1,low,7.2,1
41,plus,1,0,30,15,Fri,5,0,low,16.7,0
31,plus,1,0,42,6,Tue,5,0,low,13.1,0
18,plus,3,0,32,12,Tue,4,0,low,2.9,1
31,plus,1,0,13,20,Tue,4,0,medium,5.2,0
56,plus,7,0,53,15,Sat,5,1,low,7.2,0
45,basic,6,0,142,13,Wed,3,1,low,4.3,1
42,basic,4,0,18,8,Tue,4,1,low,10.4,0
40,basic,2,0,46,19,Sat,2,0,medium,15.8,0
18,basic,3,0,34,19,Wed,5,1,low,5.9,0
25,plus,5,0,5,10,Wed,2,0,low,6.6,0
28,basic,2,0,13,14,Fri,3,1,low,2.7,0
18,plus,3,1,132,10,Fri,5,0,medium,8.7,0
18,basic,2,0,146,9,Thu,3,1,low,8.6,0
48,basic,4,0,62,19,Fri,4,1,low,17.0,0
59,basic,2,0,100,7,Wed,3,0,low,13.8,1
41,basic,3,0,3,7,Sat,4,0,low,12.4,0
38,plus,3,0,106,13,Thu,3,1,medium,6.8,0
41,basic,3,0,15,10,Sat,5,1,low,12.1,0
38,basic,5,0,6,10,Tue,5,1,low,16.5,0
37,vip,4,0,75,7,Fri,4,1,low,14.8,0
50,basic,8,0,168,18,Tue,2,0,medium,3.1,0
18,plus,1,0,13,14,Wed,2,0,medium,14.1,0
51,basic,1,0,57,19,Wed,4,1,low,2.0,0
62,basic,3,0,40,18,Tue,5,1,low,12.8,1
37,basic,1,0,45,8,Sat,3,1,high,4.8,1
50,basic,3,0,53,17,Fri,3,1,low,5.5,0
38,plus,5,0,57,19,Mon,4,1,low,13.0,0
28,basic,1,0,11,12,Thu,3,1,medium,8.7,0
40,vip,3,0,110,21,Wed,3,0,high,11.6,1
36,plus,2,0,32,8,Thu,5,1,low,5.2,1
36,plus,3,1,93,9,Tue,3,1,medium,6.1,0
47,basic,17,0,38,19,Tue,5,1,medium,4.6,0
41,plus,3,0,45,18,Sat,4,1,low,15.6,0
32,basic,2,1,16,12,Fri,1,1,medium,6.0,0
25,basic,5,0,60,21,Sun,2,0,low,1.6,0
36,basic,12,0,75,11,Thu,4,1,medium,6.6,1
49,basic,1,0,52,21,Tue,4,1,low,3.9,0
36,vip,7,0,64,18,Tue,3,1,low,6.3,1
37,plus,2,0,49,15,Sat,3,1,medium,6.5,0
53,basic,7,0,86,19,Tue,2,1,low,7.9,0
23,basic,1,0,152,15,Mon,4,1,high,8.8,1
32,basic,1,0,73,15,Sun,2,0,low,17.4,1
44,vip,1,0,70,16,Mon,3,1,medium,6.4,0
38,basic,4,1,66,21,Fri,5,1,low,6.6,0
37,plus,8,0,108,20,Thu,2,1,low,6.9,0
58,vip,3,1,5,12,Sat,3,0,medium,6.2,0
62,basic,11,0,23,19,Wed,4,0,low,15.6,0
37,vip,4,0,6,10,Sat,4,1,low,6.0,0
30,basic,1,0,82,19,Wed,4,1,low,15.0,0
26,basic,1,0,21,10,Wed,5,0,medium,5.4,0
40,basic,2,1,1,13,Fri,2,0,high,5.4,0
39,basic,4,0,4,17,Tue,4,0,low,13.0,0
31,basic,2,0,69,6,Mon,4,0,high,7.4,1
42,plus,5,0,2,8,Wed,2,0,low,5.4,0
50,plus,3,0,80,17,Mon,3,1,medium,0.1,1
45,plus,5,0,0,15,Wed,5,0,low,2.5,0
32,basic,4,0,111,19,Fri,2,1,low,13.6,0
38,plus,2,0,69,14,Tue,4,0,medium,8.8,0
46,basic,2,0,15,20,Sat,1,1,medium,0.8,0
38,plus,3,0,4,12,Sat,5,0,low,5.1,0
37,basic,1,0,33,8,Sat,5,1,low,3.9,0
57,basic,2,0,31,21,Tue,4,1,medium,10.9,0
22,vip,1,0,37,6,Tue,3,0,medium,3.8,0
47,plus,7,0,36,20,Thu,3,1,medium,1.3,0
38,plus,3,0,57,19,Wed,4,0,medium,9.2,0
32,plus,1,0,111,10,Tue,3,1,medium,2.3,1
32,basic,1,0,68,21,Thu,4,0,low,8.5,0
36,basic,10,0,13,11,Fri,4,0,high,5.0,1
41,plus,3,1,9,11,Sat,2,0,low,17.7,0
48,basic,4,1,109,18,Thu,3,1,low,7.4,0
47,plus,6,0,55,7,Wed,3,1,medium,5.4,0
37,vip,3,0,157,19,Fri,5,0,medium,8.1,0
35,vip,1,0,17,9,Sat,4,1,low,12.1,0
29,basic,1,0,50,6,Sat,5,1,medium,13.3,0
43,basic,5,1,1,12,Tue,3,0,low,4.3,0
33,vip,8,0,121,8,Thu,3,1,high,17.9,0
32,basic,6,2,4,20,Mon,2,0,low,8.6,1
37,basic,2,0,1,15,Wed,3,0,medium,2.9,0
35,basic,4,0,7,11,Sat,2,1,low,6.4,1
23,plus,3,0,1,20,Mon,4,0,medium,1.9,0
38,plus,2,0,102,17,Sun,4,1,high,5.5,1
49,basic,1,0,33,14,Fri,1,1,low,3.6,1
51,plus,4,0,38,12,Mon,2,1,low,9.2,0
18,basic,2,0,66,19,Sun,5,1,low,16.0,0
39,plus,1,0,74,21,Wed,3,1,high,1.2,1
27,basic,1,0,35,9,Sat,4,1,low,5.9,1
45,basic,13,4,64,13,Wed,2,1,medium,3.9,0
33,basic,4,1,83,8,Fri,2,0,low,1.3,0
41,basic,2,0,44,19,Sun,5,1,low,14.2,1
42,plus,5,0,1,18,Sat,5,0,low,15.1,0
48,basic,2,0,1,18,Mon,3,0,low,8.5,1
47,basic,2,0,16,12,Mon,2,1,low,12.6,0
41,basic,3,0,0,12,Sun,3,0,medium,16.0,1
47,basic,10,0,164,17,Wed,2,1,low,4.4,1
27,plus,4,0,19,16,Fri,4,0,low,5.9,1
30,basic,2,0,67,21,Tue,4,1,medium,7.6,0
48,plus,5,0,45,19,Thu,1,0,low,5.1,0
18,plus,12,1,2,11,Sat,5,0,medium,16.9,0
46,plus,2,0,112,19,Sun,4,1,medium,5.7,0
25,basic,5,0,161,7,Tue,5,1,medium,10.2,0
39,plus,1,0,0,9,Sat,4,0,high,8.0,0
54,basic,3,0,30,10,Sat,3,1,medium,3.5,0
41,basic,3,0,0,11,Wed,4,0,low,2.3,0
51,basic,3,0,69,12,Fri,4,1,medium,0.1,0
51,plus,6,0,153,18,Wed,4,1,low,7.9,1
34,plus,1,0,18,14,Thu,3,0,medium,8.8,1
42,basic,7,0,27,18,Thu,4,1,medium,13.4,1
41,plus,4,1,40,17,Sun,5,0,low,18.0,0
55,plus,1,0,113,9,Fri,5,0,low,15.8,0
39,basic,4,1,36,8,Tue,5,1,medium,14.9,0
51,vip,3,0,9,19,Sat,2,1,medium,13.7,1
45,basic,2,0,17,14,Thu,5,1,low,3.9,0
34,plus,11,0,4,20,Sat,3,0,low,7.7,0
38,basic,1,0,49,12,Sun,3,1,medium,7.8,1
43,vip,1,1,110,13,Fri,4,1,low,5.4,0
31,plus,7,0,8,21,Mon,3,1,low,9.8,0
36,vip,1,0,165,9,Thu,3,1,medium,16.9,0
59,basic,1,0,6,8,Thu,5,1,medium,10.1,0
41,basic,2,0,60,13,Sun,3,0,medium,12.0,0
18,basic,1,0,54,10,Mon,5,1,low,10.6,0
38,plus,1,0,118,12,Mon,3,1,high,11.5,0
47,plus,1,0,18,9,Tue,2,1,low,8.9,1
33,vip,1,0,14,17,Wed,2,1,low,11.4,0
